Month_Year,Avg_players,Gain,Percent_Gain,Peak_Players,URL,Date,Game_Name
February 2020,543979.15,42783.15,+8.54%,916996,https://steamcharts.com/app/730,2020-02-01,Counter Strike: Global Offensive
January 2020,501196.00,44494.44,+9.74%,817229,https://steamcharts.com/app/730,2020-01-01,Counter Strike: Global Offensive
December 2019,456701.56,30620.76,+7.19%,767060,https://steamcharts.com/app/730,2019-12-01,Counter Strike: Global Offensive
November 2019,426080.81,17085.50,+4.18%,758412,https://steamcharts.com/app/730,2019-11-01,Counter Strike: Global Offensive
October 2019,408995.31,-1930.29,-0.47%,747937,https://steamcharts.com/app/730,2019-10-01,Counter Strike: Global Offensive
September 2019,410925.60,-4171.70,-1.00%,720052,https://steamcharts.com/app/730,2019-09-01,Counter Strike: Global Offensive
August 2019,415097.30,21314.48,+5.41%,647461,https://steamcharts.com/app/730,2019-08-01,Counter Strike: Global Offensive
July 2019,393782.83,4406.10,+1.13%,578933,https://steamcharts.com/app/730,2019-07-01,Counter Strike: Global Offensive
June 2019,389376.72,24959.42,+6.85%,587724,https://steamcharts.com/app/730,2019-06-01,Counter Strike: Global Offensive
May 2019,364417.31,12427.39,+3.53%,588453,https://steamcharts.com/app/730,2019-05-01,Counter Strike: Global Offensive
April 2019,351989.92,-38250.24,-9.80%,621614,https://steamcharts.com/app/730,2019-04-01,Counter Strike: Global Offensive
March 2019,390240.16,18881.20,+5.08%,680071,https://steamcharts.com/app/730,2019-03-01,Counter Strike: Global Offensive
February 2019,371358.96,-30007.91,-7.48%,654069,https://steamcharts.com/app/730,2019-02-01,Counter Strike: Global Offensive
January 2019,401366.87,5857.61,+1.48%,684511,https://steamcharts.com/app/730,2019-01-01,Counter Strike: Global Offensive
December 2018,395509.26,85423.83,+27.55%,746548,https://steamcharts.com/app/730,2018-12-01,Counter Strike: Global Offensive
November 2018,310085.43,-15822.39,-4.85%,546031,https://steamcharts.com/app/730,2018-11-01,Counter Strike: Global Offensive
October 2018,325907.82,-7256.17,-2.18%,565968,https://steamcharts.com/app/730,2018-10-01,Counter Strike: Global Offensive
September 2018,333163.99,49632.68,+17.51%,583029,https://steamcharts.com/app/730,2018-09-01,Counter Strike: Global Offensive
August 2018,283531.31,10224.05,+3.74%,454370,https://steamcharts.com/app/730,2018-08-01,Counter Strike: Global Offensive
July 2018,273307.26,6445.02,+2.42%,426008,https://steamcharts.com/app/730,2018-07-01,Counter Strike: Global Offensive
June 2018,266862.24,4691.36,+1.79%,420261,https://steamcharts.com/app/730,2018-06-01,Counter Strike: Global Offensive
May 2018,262170.88,-26905.82,-9.31%,454481,https://steamcharts.com/app/730,2018-05-01,Counter Strike: Global Offensive
April 2018,289076.70,-65193.64,-18.40%,523262,https://steamcharts.com/app/730,2018-04-01,Counter Strike: Global Offensive
March 2018,354270.33,-28186.77,-7.37%,672502,https://steamcharts.com/app/730,2018-03-01,Counter Strike: Global Offensive
February 2018,382457.10,426.57,+0.11%,686588,https://steamcharts.com/app/730,2018-02-01,Counter Strike: Global Offensive
January 2018,382030.53,41153.65,+12.07%,715850,https://steamcharts.com/app/730,2018-01-01,Counter Strike: Global Offensive
December 2017,340876.88,19745.48,+6.15%,598405,https://steamcharts.com/app/730,2017-12-01,Counter Strike: Global Offensive
November 2017,321131.40,-20729.86,-6.06%,601881,https://steamcharts.com/app/730,2017-11-01,Counter Strike: Global Offensive
October 2017,341861.26,-12540.83,-3.54%,639968,https://steamcharts.com/app/730,2017-10-01,Counter Strike: Global Offensive
September 2017,354402.09,-20023.60,-5.35%,665371,https://steamcharts.com/app/730,2017-09-01,Counter Strike: Global Offensive
August 2017,374425.69,-3163.35,-0.84%,595781,https://steamcharts.com/app/730,2017-08-01,Counter Strike: Global Offensive
July 2017,377589.04,3201.00,+0.85%,624785,https://steamcharts.com/app/730,2017-07-01,Counter Strike: Global Offensive
June 2017,374388.04,2558.70,+0.69%,614621,https://steamcharts.com/app/730,2017-06-01,Counter Strike: Global Offensive
May 2017,371829.34,-20369.85,-5.19%,692966,https://steamcharts.com/app/730,2017-05-01,Counter Strike: Global Offensive
April 2017,392199.19,5290.47,+1.37%,709841,https://steamcharts.com/app/730,2017-04-01,Counter Strike: Global Offensive
March 2017,386908.72,-15476.99,-3.85%,742356,https://steamcharts.com/app/730,2017-03-01,Counter Strike: Global Offensive
February 2017,402385.71,9276.18,+2.36%,744468,https://steamcharts.com/app/730,2017-02-01,Counter Strike: Global Offensive
January 2017,393109.53,50913.83,+14.88%,814616,https://steamcharts.com/app/730,2017-01-01,Counter Strike: Global Offensive
December 2016,342195.70,13150.44,+4.00%,662460,https://steamcharts.com/app/730,2016-12-01,Counter Strike: Global Offensive
November 2016,329045.26,-4031.20,-1.21%,627124,https://steamcharts.com/app/730,2016-11-01,Counter Strike: Global Offensive
October 2016,333076.46,10550.57,+3.27%,661985,https://steamcharts.com/app/730,2016-10-01,Counter Strike: Global Offensive
September 2016,322525.89,-24703.36,-7.11%,638360,https://steamcharts.com/app/730,2016-09-01,Counter Strike: Global Offensive
August 2016,347229.25,-6548.31,-1.85%,599095,https://steamcharts.com/app/730,2016-08-01,Counter Strike: Global Offensive
July 2016,353777.56,19466.50,+5.82%,636056,https://steamcharts.com/app/730,2016-07-01,Counter Strike: Global Offensive
June 2016,334311.06,-4427.34,-1.31%,579110,https://steamcharts.com/app/730,2016-06-01,Counter Strike: Global Offensive
May 2016,338738.39,-37057.47,-9.86%,668612,https://steamcharts.com/app/730,2016-05-01,Counter Strike: Global Offensive
April 2016,375795.87,-3631.08,-0.96%,850485,https://steamcharts.com/app/730,2016-04-01,Counter Strike: Global Offensive
March 2016,379426.95,3141.92,+0.83%,737599,https://steamcharts.com/app/730,2016-03-01,Counter Strike: Global Offensive
February 2016,376285.02,10913.93,+2.99%,738969,https://steamcharts.com/app/730,2016-02-01,Counter Strike: Global Offensive
January 2016,365371.09,-12076.02,-3.20%,667432,https://steamcharts.com/app/730,2016-01-01,Counter Strike: Global Offensive
December 2015,377447.11,16521.23,+4.58%,823694,https://steamcharts.com/app/730,2015-12-01,Counter Strike: Global Offensive
November 2015,360925.88,-1840.21,-0.51%,786707,https://steamcharts.com/app/730,2015-11-01,Counter Strike: Global Offensive
October 2015,362766.09,6860.76,+1.93%,732093,https://steamcharts.com/app/730,2015-10-01,Counter Strike: Global Offensive
September 2015,355905.33,-1629.91,-0.46%,725939,https://steamcharts.com/app/730,2015-09-01,Counter Strike: Global Offensive
August 2015,357535.24,28002.87,+8.50%,819902,https://steamcharts.com/app/730,2015-08-01,Counter Strike: Global Offensive
July 2015,329532.38,-14623.63,-4.25%,541181,https://steamcharts.com/app/730,2015-07-01,Counter Strike: Global Offensive
June 2015,344156.01,26869.72,+8.47%,610401,https://steamcharts.com/app/730,2015-06-01,Counter Strike: Global Offensive
May 2015,317286.29,25537.55,+8.75%,677701,https://steamcharts.com/app/730,2015-05-01,Counter Strike: Global Offensive
April 2015,291748.74,23752.43,+8.86%,568556,https://steamcharts.com/app/730,2015-04-01,Counter Strike: Global Offensive
March 2015,267996.31,28061.68,+11.70%,595439,https://steamcharts.com/app/730,2015-03-01,Counter Strike: Global Offensive
February 2015,239934.64,5863.96,+2.51%,455508,https://steamcharts.com/app/730,2015-02-01,Counter Strike: Global Offensive
January 2015,234070.68,50481.18,+27.50%,443188,https://steamcharts.com/app/730,2015-01-01,Counter Strike: Global Offensive
December 2014,183589.50,36260.43,+24.61%,367634,https://steamcharts.com/app/730,2014-12-01,Counter Strike: Global Offensive
November 2014,147329.07,13791.37,+10.33%,348018,https://steamcharts.com/app/730,2014-11-01,Counter Strike: Global Offensive
October 2014,133537.70,2503.02,+1.91%,260613,https://steamcharts.com/app/730,2014-10-01,Counter Strike: Global Offensive
September 2014,131034.68,-2151.11,-1.62%,242494,https://steamcharts.com/app/730,2014-09-01,Counter Strike: Global Offensive
August 2014,133185.79,27047.79,+25.48%,277192,https://steamcharts.com/app/730,2014-08-01,Counter Strike: Global Offensive
July 2014,106138.00,21974.38,+26.11%,193613,https://steamcharts.com/app/730,2014-07-01,Counter Strike: Global Offensive
June 2014,84163.62,-761.40,-0.90%,164134,https://steamcharts.com/app/730,2014-06-01,Counter Strike: Global Offensive
May 2014,84925.02,6044.49,+7.66%,170137,https://steamcharts.com/app/730,2014-05-01,Counter Strike: Global Offensive
April 2014,78880.53,8737.20,+12.46%,142526,https://steamcharts.com/app/730,2014-04-01,Counter Strike: Global Offensive
March 2014,70143.33,10351.96,+17.31%,164495,https://steamcharts.com/app/730,2014-03-01,Counter Strike: Global Offensive
February 2014,59791.37,4164.01,+7.49%,119764,https://steamcharts.com/app/730,2014-02-01,Counter Strike: Global Offensive
January 2014,55627.35,8839.08,+18.89%,102084,https://steamcharts.com/app/730,2014-01-01,Counter Strike: Global Offensive
December 2013,46788.27,16897.75,+56.53%,96298,https://steamcharts.com/app/730,2013-12-01,Counter Strike: Global Offensive
November 2013,29890.52,1988.38,+7.13%,92279,https://steamcharts.com/app/730,2013-11-01,Counter Strike: Global Offensive
October 2013,27902.14,223.23,+0.81%,53263,https://steamcharts.com/app/730,2013-10-01,Counter Strike: Global Offensive
September 2013,27678.91,1717.06,+6.61%,52052,https://steamcharts.com/app/730,2013-09-01,Counter Strike: Global Offensive
August 2013,25961.85,5469.33,+26.69%,50511,https://steamcharts.com/app/730,2013-08-01,Counter Strike: Global Offensive
July 2013,20492.52,2372.68,+13.09%,42149,https://steamcharts.com/app/730,2013-07-01,Counter Strike: Global Offensive
June 2013,18119.84,-590.50,-3.16%,33700,https://steamcharts.com/app/730,2013-06-01,Counter Strike: Global Offensive
May 2013,18710.34,2704.34,+16.90%,53379,https://steamcharts.com/app/730,2013-05-01,Counter Strike: Global Offensive
April 2013,16006.00,46.11,+0.29%,31966,https://steamcharts.com/app/730,2013-04-01,Counter Strike: Global Offensive
March 2013,15959.89,-1412.84,-8.13%,32166,https://steamcharts.com/app/730,2013-03-01,Counter Strike: Global Offensive
February 2013,17372.73,1208.51,+7.48%,35238,https://steamcharts.com/app/730,2013-02-01,Counter Strike: Global Offensive
January 2013,16164.22,2084.83,+14.81%,31359,https://steamcharts.com/app/730,2013-01-01,Counter Strike: Global Offensive
December 2012,14079.39,-54.71,-0.39%,27553,https://steamcharts.com/app/730,2012-12-01,Counter Strike: Global Offensive
November 2012,14134.10,3394.62,+31.61%,50533,https://steamcharts.com/app/730,2012-11-01,Counter Strike: Global Offensive
October 2012,10739.48,-5261.27,-32.88%,20850,https://steamcharts.com/app/730,2012-10-01,Counter Strike: Global Offensive
September 2012,16000.75,525.36,+3.39%,36057,https://steamcharts.com/app/730,2012-09-01,Counter Strike: Global Offensive
August 2012,15475.39,14542.81,+1559.43%,52261,https://steamcharts.com/app/730,2012-08-01,Counter Strike: Global Offensive
July 2012,932.57,,,1642,https://steamcharts.com/app/730,2012-07-01,Counter Strike: Global Offensive
September 2021,391082.08,-33898.09,-7.98%,666838,https://steamcharts.com/app/570,2021-09-01,Dota 2
August 2021,424980.17,1823.99,+0.43%,699613,https://steamcharts.com/app/570,2021-08-01,Dota 2
July 2021,423156.18,1646.22,+0.39%,707406,https://steamcharts.com/app/570,2021-07-01,Dota 2
June 2021,421509.96,6365.00,+1.53%,734277,https://steamcharts.com/app/570,2021-06-01,Dota 2
May 2021,415144.96,1360.00,+0.33%,672307,https://steamcharts.com/app/570,2021-05-01,Dota 2
April 2021,413784.97,23372.21,+5.99%,705534,https://steamcharts.com/app/570,2021-04-01,Dota 2
March 2021,390412.76,-14419.37,-3.56%,648875,https://steamcharts.com/app/570,2021-03-01,Dota 2
February 2021,404832.13,-27839.52,-6.43%,651615,https://steamcharts.com/app/570,2021-02-01,Dota 2
January 2021,432671.65,10119.33,+2.39%,694613,https://steamcharts.com/app/570,2021-01-01,Dota 2
December 2020,422552.32,-3352.52,-0.79%,697833,https://steamcharts.com/app/570,2020-12-01,Dota 2
November 2020,425904.83,19543.48,+4.81%,711824,https://steamcharts.com/app/570,2020-11-01,Dota 2
October 2020,406361.36,-2248.43,-0.55%,723280,https://steamcharts.com/app/570,2020-10-01,Dota 2
September 2020,408609.78,-21107.34,-4.91%,670547,https://steamcharts.com/app/570,2020-09-01,Dota 2
August 2020,429717.12,-20496.87,-4.55%,666138,https://steamcharts.com/app/570,2020-08-01,Dota 2
July 2020,450213.99,-6970.43,-1.52%,712610,https://steamcharts.com/app/570,2020-07-01,Dota 2
June 2020,457184.42,-27004.60,-5.58%,733294,https://steamcharts.com/app/570,2020-06-01,Dota 2
May 2020,484189.02,-9111.25,-1.85%,793135,https://steamcharts.com/app/570,2020-05-01,Dota 2
April 2020,493300.27,56152.91,+12.85%,801121,https://steamcharts.com/app/570,2020-04-01,Dota 2
March 2020,437147.36,31168.71,+7.68%,743933,https://steamcharts.com/app/570,2020-03-01,Dota 2
February 2020,405978.65,27053.22,+7.14%,663812,https://steamcharts.com/app/570,2020-02-01,Dota 2
January 2020,378925.43,-5254.32,-1.37%,616415,https://steamcharts.com/app/570,2020-01-01,Dota 2
December 2019,384179.76,-17752.05,-4.42%,685165,https://steamcharts.com/app/570,2019-12-01,Dota 2
November 2019,401931.80,13575.94,+3.50%,708517,https://steamcharts.com/app/570,2019-11-01,Dota 2
October 2019,388355.86,-33615.38,-7.97%,739924,https://steamcharts.com/app/570,2019-10-01,Dota 2
September 2019,421971.24,-45177.05,-9.67%,753996,https://steamcharts.com/app/570,2019-09-01,Dota 2
August 2019,467148.29,2360.67,+0.51%,826690,https://steamcharts.com/app/570,2019-08-01,Dota 2
July 2019,464787.61,-42740.82,-8.42%,779160,https://steamcharts.com/app/570,2019-07-01,Dota 2
June 2019,507528.44,-40994.74,-7.47%,865374,https://steamcharts.com/app/570,2019-06-01,Dota 2
May 2019,548523.18,28304.20,+5.44%,997341,https://steamcharts.com/app/570,2019-05-01,Dota 2
April 2019,520218.98,-66286.87,-11.30%,971545,https://steamcharts.com/app/570,2019-04-01,Dota 2
March 2019,586505.85,21596.18,+3.82%,1033925,https://steamcharts.com/app/570,2019-03-01,Dota 2
February 2019,564909.67,89162.67,+18.74%,964921,https://steamcharts.com/app/570,2019-02-01,Dota 2
January 2019,475747.00,36379.17,+8.28%,874888,https://steamcharts.com/app/570,2019-01-01,Dota 2
December 2018,439367.83,-21705.66,-4.71%,765422,https://steamcharts.com/app/570,2018-12-01,Dota 2
November 2018,461073.48,29899.57,+6.93%,826053,https://steamcharts.com/app/570,2018-11-01,Dota 2
October 2018,431173.91,-35296.83,-7.57%,739643,https://steamcharts.com/app/570,2018-10-01,Dota 2
September 2018,466470.74,-9630.34,-2.02%,826166,https://steamcharts.com/app/570,2018-09-01,Dota 2
August 2018,476101.08,34386.73,+7.78%,829281,https://steamcharts.com/app/570,2018-08-01,Dota 2
July 2018,441714.35,-32185.65,-6.79%,701582,https://steamcharts.com/app/570,2018-07-01,Dota 2
June 2018,473900.00,-425.87,-0.09%,796886,https://steamcharts.com/app/570,2018-06-01,Dota 2
May 2018,474325.87,43984.93,+10.22%,844713,https://steamcharts.com/app/570,2018-05-01,Dota 2
April 2018,430340.94,-6921.40,-1.58%,733214,https://steamcharts.com/app/570,2018-04-01,Dota 2
March 2018,437262.35,-1585.37,-0.36%,773897,https://steamcharts.com/app/570,2018-03-01,Dota 2
February 2018,438847.72,-48014.20,-9.86%,779299,https://steamcharts.com/app/570,2018-02-01,Dota 2
January 2018,486861.91,-26212.42,-5.11%,778627,https://steamcharts.com/app/570,2018-01-01,Dota 2
December 2017,513074.33,25693.09,+5.27%,864939,https://steamcharts.com/app/570,2017-12-01,Dota 2
November 2017,487381.24,21254.45,+4.56%,861173,https://steamcharts.com/app/570,2017-11-01,Dota 2
October 2017,466126.79,-25323.37,-5.15%,832550,https://steamcharts.com/app/570,2017-10-01,Dota 2
September 2017,491450.16,-65046.14,-11.69%,829555,https://steamcharts.com/app/570,2017-09-01,Dota 2
August 2017,556496.30,58051.92,+11.65%,876395,https://steamcharts.com/app/570,2017-08-01,Dota 2
July 2017,498444.38,-56844.70,-10.24%,824297,https://steamcharts.com/app/570,2017-07-01,Dota 2
June 2017,555289.07,-12237.35,-2.16%,923122,https://steamcharts.com/app/570,2017-06-01,Dota 2
May 2017,567526.42,27248.39,+5.04%,972876,https://steamcharts.com/app/570,2017-05-01,Dota 2
April 2017,540278.03,-8157.41,-1.49%,921318,https://steamcharts.com/app/570,2017-04-01,Dota 2
March 2017,548435.44,-43131.81,-7.29%,956232,https://steamcharts.com/app/570,2017-03-01,Dota 2
February 2017,591567.25,11285.78,+1.94%,1040877,https://steamcharts.com/app/570,2017-02-01,Dota 2
January 2017,580281.47,-13639.13,-2.30%,1007451,https://steamcharts.com/app/570,2017-01-01,Dota 2
December 2016,593920.60,9669.27,+1.65%,1014671,https://steamcharts.com/app/570,2016-12-01,Dota 2
November 2016,584251.33,-55103.82,-8.62%,1007270,https://steamcharts.com/app/570,2016-11-01,Dota 2
October 2016,639355.14,16771.24,+2.69%,1141191,https://steamcharts.com/app/570,2016-10-01,Dota 2
September 2016,622583.90,-43429.15,-6.52%,1064377,https://steamcharts.com/app/570,2016-09-01,Dota 2
August 2016,666013.05,27800.40,+4.36%,1117519,https://steamcharts.com/app/570,2016-08-01,Dota 2
July 2016,638212.65,-2014.33,-0.31%,1084198,https://steamcharts.com/app/570,2016-07-01,Dota 2
June 2016,640226.98,16428.30,+2.63%,1095994,https://steamcharts.com/app/570,2016-06-01,Dota 2
May 2016,623798.67,-33145.70,-5.05%,1075307,https://steamcharts.com/app/570,2016-05-01,Dota 2
April 2016,656944.37,-15610.52,-2.32%,1164041,https://steamcharts.com/app/570,2016-04-01,Dota 2
March 2016,672554.89,-36623.36,-5.16%,1291328,https://steamcharts.com/app/570,2016-03-01,Dota 2
February 2016,709178.26,97003.48,+15.85%,1248394,https://steamcharts.com/app/570,2016-02-01,Dota 2
January 2016,612174.78,38830.53,+6.77%,1067949,https://steamcharts.com/app/570,2016-01-01,Dota 2
December 2015,573344.25,33807.92,+6.27%,999452,https://steamcharts.com/app/570,2015-12-01,Dota 2
November 2015,539536.33,17594.62,+3.37%,943635,https://steamcharts.com/app/570,2015-11-01,Dota 2
October 2015,521941.72,13784.86,+2.71%,917306,https://steamcharts.com/app/570,2015-10-01,Dota 2
September 2015,508156.85,-98787.12,-16.28%,888728,https://steamcharts.com/app/570,2015-09-01,Dota 2
August 2015,606943.98,51952.97,+9.36%,933942,https://steamcharts.com/app/570,2015-08-01,Dota 2
July 2015,554991.01,-13457.32,-2.37%,877264,https://steamcharts.com/app/570,2015-07-01,Dota 2
June 2015,568448.32,-11900.10,-2.05%,913997,https://steamcharts.com/app/570,2015-06-01,Dota 2
May 2015,580348.42,54286.70,+10.32%,967674,https://steamcharts.com/app/570,2015-05-01,Dota 2
April 2015,526061.73,-45651.42,-7.99%,929677,https://steamcharts.com/app/570,2015-04-01,Dota 2
March 2015,571713.15,-57257.26,-9.10%,1213940,https://steamcharts.com/app/570,2015-03-01,Dota 2
February 2015,628970.41,70466.07,+12.62%,1262612,https://steamcharts.com/app/570,2015-02-01,Dota 2
January 2015,558504.33,34564.01,+6.60%,961737,https://steamcharts.com/app/570,2015-01-01,Dota 2
December 2014,523940.32,-4849.48,-0.92%,936583,https://steamcharts.com/app/570,2014-12-01,Dota 2
November 2014,528789.80,33096.77,+6.68%,963810,https://steamcharts.com/app/570,2014-11-01,Dota 2
October 2014,495693.04,17694.59,+3.70%,880655,https://steamcharts.com/app/570,2014-10-01,Dota 2
September 2014,477998.45,-12885.44,-2.62%,864261,https://steamcharts.com/app/570,2014-09-01,Dota 2
August 2014,490883.89,-46134.77,-8.59%,774319,https://steamcharts.com/app/570,2014-08-01,Dota 2
July 2014,537018.66,23235.60,+4.52%,874975,https://steamcharts.com/app/570,2014-07-01,Dota 2
June 2014,513783.06,31395.81,+6.51%,833145,https://steamcharts.com/app/570,2014-06-01,Dota 2
May 2014,482387.24,60677.03,+14.39%,843024,https://steamcharts.com/app/570,2014-05-01,Dota 2
April 2014,421710.21,11954.66,+2.92%,734998,https://steamcharts.com/app/570,2014-04-01,Dota 2
March 2014,409755.56,-11358.65,-2.70%,698197,https://steamcharts.com/app/570,2014-03-01,Dota 2
February 2014,421114.20,27253.88,+6.92%,738682,https://steamcharts.com/app/570,2014-02-01,Dota 2
January 2014,393860.32,27253.83,+7.43%,673496,https://steamcharts.com/app/570,2014-01-01,Dota 2
December 2013,366606.49,18360.12,+5.27%,685503,https://steamcharts.com/app/570,2013-12-01,Dota 2
November 2013,348246.37,18568.73,+5.63%,702792,https://steamcharts.com/app/570,2013-11-01,Dota 2
October 2013,329677.64,17252.88,+5.52%,581615,https://steamcharts.com/app/570,2013-10-01,Dota 2
September 2013,312424.76,-18295.30,-5.53%,566715,https://steamcharts.com/app/570,2013-09-01,Dota 2
August 2013,330720.07,92919.98,+39.07%,520532,https://steamcharts.com/app/570,2013-08-01,Dota 2
July 2013,237800.08,27575.26,+13.12%,422617,https://steamcharts.com/app/570,2013-07-01,Dota 2
June 2013,210224.82,15860.98,+8.16%,326160,https://steamcharts.com/app/570,2013-06-01,Dota 2
May 2013,194363.84,19528.11,+11.17%,325815,https://steamcharts.com/app/570,2013-05-01,Dota 2
April 2013,174835.73,-6043.17,-3.34%,299667,https://steamcharts.com/app/570,2013-04-01,Dota 2
March 2013,180878.90,13905.93,+8.33%,325598,https://steamcharts.com/app/570,2013-03-01,Dota 2
February 2013,166972.97,19224.82,+13.01%,283870,https://steamcharts.com/app/570,2013-02-01,Dota 2
January 2013,147748.14,25823.72,+21.18%,260989,https://steamcharts.com/app/570,2013-01-01,Dota 2
December 2012,121924.42,20846.99,+20.62%,213521,https://steamcharts.com/app/570,2012-12-01,Dota 2
November 2012,101077.43,25111.99,+33.06%,169631,https://steamcharts.com/app/570,2012-11-01,Dota 2
October 2012,75965.44,14097.77,+22.79%,171860,https://steamcharts.com/app/570,2012-10-01,Dota 2
September 2012,61867.68,6099.07,+10.94%,118724,https://steamcharts.com/app/570,2012-09-01,Dota 2
August 2012,55768.61,3047.56,+5.78%,108689,https://steamcharts.com/app/570,2012-08-01,Dota 2
July 2012,52721.05,,,75041,https://steamcharts.com/app/570,2012-07-01,Dota 2
September 2021,167102.12,-17726.28,-9.59%,400709,https://steamcharts.com/app/578080,2021-09-01,PUBG: Battlegrounds
August 2021,184828.40,-1421.57,-0.76%,444355,https://steamcharts.com/app/578080,2021-08-01,PUBG: Battlegrounds
July 2021,186249.97,6911.70,+3.85%,413274,https://steamcharts.com/app/578080,2021-07-01,PUBG: Battlegrounds
June 2021,179338.27,-5362.95,-2.90%,427913,https://steamcharts.com/app/578080,2021-06-01,PUBG: Battlegrounds
May 2021,184701.21,-1409.44,-0.76%,419509,https://steamcharts.com/app/578080,2021-05-01,PUBG: Battlegrounds
April 2021,186110.65,-7003.53,-3.63%,453579,https://steamcharts.com/app/578080,2021-04-01,PUBG: Battlegrounds
March 2021,193114.18,-5843.34,-2.94%,464480,https://steamcharts.com/app/578080,2021-03-01,PUBG: Battlegrounds
February 2021,198957.52,-2289.67,-1.14%,447390,https://steamcharts.com/app/578080,2021-02-01,PUBG: Battlegrounds
January 2021,201247.19,12013.61,+6.35%,451998,https://steamcharts.com/app/578080,2021-01-01,PUBG: Battlegrounds
December 2020,189233.58,9713.32,+5.41%,444680,https://steamcharts.com/app/578080,2020-12-01,PUBG: Battlegrounds
November 2020,179520.26,16934.62,+10.42%,438919,https://steamcharts.com/app/578080,2020-11-01,PUBG: Battlegrounds
October 2020,162585.64,-6508.07,-3.85%,381079,https://steamcharts.com/app/578080,2020-10-01,PUBG: Battlegrounds
September 2020,169093.71,-23398.90,-12.16%,403693,https://steamcharts.com/app/578080,2020-09-01,PUBG: Battlegrounds
August 2020,192492.61,-19207.70,-9.07%,443390,https://steamcharts.com/app/578080,2020-08-01,PUBG: Battlegrounds
July 2020,211700.30,-18629.44,-8.09%,469568,https://steamcharts.com/app/578080,2020-07-01,PUBG: Battlegrounds
June 2020,230329.74,-12929.04,-5.31%,546359,https://steamcharts.com/app/578080,2020-06-01,PUBG: Battlegrounds
May 2020,243258.78,411.51,+0.17%,553121,https://steamcharts.com/app/578080,2020-05-01,PUBG: Battlegrounds
April 2020,242847.28,14380.11,+6.29%,913075,https://steamcharts.com/app/578080,2020-04-01,PUBG: Battlegrounds
March 2020,228467.17,-29117.16,-11.30%,562028,https://steamcharts.com/app/578080,2020-03-01,PUBG: Battlegrounds
February 2020,257584.32,-17778.72,-6.46%,606689,https://steamcharts.com/app/578080,2020-02-01,PUBG: Battlegrounds
January 2020,275363.04,-33082.41,-10.73%,645414,https://steamcharts.com/app/578080,2020-01-01,PUBG: Battlegrounds
December 2019,308445.45,2786.06,+0.91%,686239,https://steamcharts.com/app/578080,2019-12-01,PUBG: Battlegrounds
November 2019,305659.39,18525.98,+6.45%,695920,https://steamcharts.com/app/578080,2019-11-01,PUBG: Battlegrounds
October 2019,287133.41,-24310.90,-7.81%,637870,https://steamcharts.com/app/578080,2019-10-01,PUBG: Battlegrounds
September 2019,311444.31,-47086.65,-13.13%,660864,https://steamcharts.com/app/578080,2019-09-01,PUBG: Battlegrounds
August 2019,358530.96,5642.08,+1.60%,750941,https://steamcharts.com/app/578080,2019-08-01,PUBG: Battlegrounds
July 2019,352888.88,-10194.48,-2.81%,745224,https://steamcharts.com/app/578080,2019-07-01,PUBG: Battlegrounds
