uid,visit_date,utm_source,utm_medium,utm_campaign,converted,cost_of_click
h8mza7,2022-12-16,google,cpc,back_to_school,False,1.89
fdktj1,2022-07-29,facebook,cpc,summer_sale,False,0.33
snypnx,2022-12-18,google,cpc,back_to_school,True,1.04
x9hubk,2022-04-22,google,cpm,summer_sale,False,1.13
570po0,2022-11-17,facebook,email,holiday_season,True,1.48
x6g2mb,2022-05-06,twitter,email,back_to_school,False,0.42
x9cfpk,2022-03-17,google,cpc,back_to_school,False,1.49
jcf6qy,2022-07-30,facebook,cpc,summer_sale,False,2.04
kp1vs3,2022-07-09,google,email,holiday_season,False,1.49
08wpsh,2022-08-22,google,cpm,holiday_season,False,0.64
wsbsxk,2022-07-07,twitter,cpc,back_to_school,False,2.45
93jmiy,2022-01-03,twitter,cpm,back_to_school,False,0.49
we8ulx,2022-05-20,google,cpc,back_to_school,True,1.49
yk9hts,2022-09-06,twitter,cpc,summer_sale,False,0.41
g6ans4,2022-12-30,google,cpc,holiday_season,False,2.43
gnkx0q,2022-07-23,google,cpm,holiday_season,False,0.48
5umrc2,2022-04-28,google,cpm,summer_sale,False,0.29
0gx52x,2022-06-09,twitter,cpc,summer_sale,False,0.26
g0i96c,2022-11-27,twitter,email,back_to_school,False,2.26
geqmea,2022-09-20,google,cpm,holiday_season,True,1.15
u7rh99,2022-02-12,facebook,cpm,holiday_season,False,1.08
x3ktsc,2022-11-10,facebook,cpc,holiday_season,False,2.45
nweppv,2022-02-06,facebook,cpm,holiday_season,False,0.67
khmv31,2022-12-02,google,email,back_to_school,False,2.18
typb7j,2022-05-01,google,cpc,back_to_school,False,0.67
zhf037,2022-05-09,twitter,email,holiday_season,False,1.64
ogoss9,2022-07-12,facebook,cpm,holiday_season,False,1.9
fslfb9,2022-11-12,facebook,cpm,holiday_season,False,2.28
bkznpx,2022-07-09,google,cpc,back_to_school,False,2.26
e9fhwk,2022-09-15,twitter,cpc,back_to_school,False,0.42
zjipmz,2022-10-15,facebook,email,summer_sale,False,0.27
64tw91,2022-04-28,google,cpm,summer_sale,False,0.08
159leh,2022-01-27,twitter,cpc,back_to_school,False,0.67
u0yld4,2022-08-21,facebook,cpm,back_to_school,True,0.65
tf1xtc,2022-12-05,google,cpm,summer_sale,False,0.8
myy74o,2022-07-21,google,email,holiday_season,False,1.89
i3dv2s,2022-09-07,google,email,summer_sale,False,1.3
k2c11y,2022-08-23,google,cpm,back_to_school,False,0.9
vvhl5f,2022-07-25,google,cpm,summer_sale,False,0.04
zwnpe6,2022-12-12,twitter,cpc,holiday_season,False,1.49
38j0rs,2022-12-26,google,cpc,summer_sale,False,0.94
0jzn8w,2022-09-29,facebook,cpc,holiday_season,False,1.96
yuxa9g,2022-03-09,google,email,holiday_season,False,0.16
wo3a3p,2022-01-23,google,cpm,summer_sale,False,1.29
54mot0,2022-07-17,twitter,email,back_to_school,False,0.83
kn578h,2022-05-22,facebook,cpm,summer_sale,False,1.3
n2nyec,2022-06-25,twitter,cpc,summer_sale,False,0.44
9xq7zk,2022-10-08,facebook,cpm,holiday_season,True,1.12
0c3mqv,2022-11-01,twitter,cpc,back_to_school,True,1.91
d737hg,2022-02-15,facebook,email,holiday_season,False,1.87
np6yhf,2022-09-14,google,cpm,back_to_school,False,0.65
x60d9m,2022-03-08,google,cpc,holiday_season,False,2.05
0ifhk7,2022-03-07,google,cpc,back_to_school,False,2.4
o4yssv,2022-06-26,facebook,email,holiday_season,False,2.01
ntyiug,2022-10-12,google,cpc,holiday_season,False,1.08
si2hja,2022-07-06,twitter,email,back_to_school,False,1.15
hvu30l,2022-09-09,twitter,cpc,holiday_season,False,1.57
2wqnpk,2022-04-08,google,email,summer_sale,False,0.42
2cozk7,2022-11-17,twitter,cpm,back_to_school,False,0.61
iouc0w,2022-07-13,twitter,cpm,back_to_school,False,1.23
btw4kl,2022-06-22,facebook,cpc,summer_sale,False,0.86
skoe5v,2022-07-17,facebook,cpm,back_to_school,False,1.25
gd8i6t,2022-04-23,twitter,cpc,back_to_school,False,1.67
2ecsuk,2022-05-27,twitter,cpc,back_to_school,True,1.24
0ptkbe,2022-10-01,google,email,back_to_school,False,1.98
qpggmr,2022-10-07,google,email,holiday_season,False,1.85
tezp04,2022-01-25,facebook,cpm,back_to_school,False,0.64
btem3t,2022-08-29,google,email,summer_sale,False,1.26
xaq97j,2022-01-01,google,cpm,holiday_season,False,2.09
immnly,2022-11-23,facebook,cpc,holiday_season,False,2.21
p4oupr,2022-09-20,facebook,email,back_to_school,False,0.51
juwhte,2022-08-29,twitter,email,back_to_school,False,1.03
4knnw7,2022-04-01,facebook,cpc,back_to_school,True,2.49
xh7a7o,2022-07-08,twitter,cpc,back_to_school,False,0.75
6v4q98,2022-07-10,facebook,cpm,back_to_school,False,1.61
336daf,2022-04-30,twitter,cpc,holiday_season,False,2.38
9tgjkf,2022-12-10,twitter,email,summer_sale,False,1.76
z1qrfu,2022-07-30,twitter,cpc,summer_sale,False,1.73
p6tkcx,2022-06-06,google,cpc,summer_sale,False,0.29
ucnbkc,2022-05-10,google,cpm,holiday_season,False,0.63
1t8ubz,2022-02-10,facebook,cpc,summer_sale,False,1.47
x9t9j7,2022-12-23,twitter,email,summer_sale,False,0.86
xrnxpt,2022-04-28,facebook,cpc,back_to_school,False,0.81
ucvxio,2022-12-31,twitter,cpm,holiday_season,False,2.22
63l0lt,2022-06-25,twitter,cpm,holiday_season,False,1.62
l0p8ur,2022-08-17,facebook,email,back_to_school,False,0.73
udp2kk,2022-06-23,facebook,cpc,summer_sale,False,1.1
vhvmv1,2022-01-27,twitter,cpm,holiday_season,False,1.32
bromxe,2022-06-20,twitter,cpc,summer_sale,False,1.42
yw51b1,2022-12-15,twitter,email,summer_sale,False,1.73
f83lb1,2022-11-17,google,cpm,summer_sale,False,0.37
pqw08n,2022-06-24,facebook,cpm,holiday_season,False,1.31
rvuza3,2022-08-11,facebook,cpm,summer_sale,False,0.07
8zsr4g,2022-06-15,google,cpc,holiday_season,False,2.4
fv0ewz,2022-07-23,google,email,holiday_season,False,1.64
1ble2i,2022-02-22,google,cpm,summer_sale,True,0.98
kp7l0i,2022-10-26,google,cpc,holiday_season,True,0.13
wa2tb6,2022-03-13,twitter,cpc,holiday_season,False,0.29
vqtxmv,2022-10-23,twitter,email,back_to_school,False,1.82
89xvv5,2022-03-09,google,cpc,holiday_season,False,1.51
zdf8ej,2022-05-16,google,cpc,holiday_season,False,1.34
ald4cd,2022-07-28,facebook,cpm,back_to_school,False,0.16
3puk41,2022-09-25,google,cpm,summer_sale,False,0.95
1i1qul,2022-12-23,google,email,back_to_school,False,1.64
fdz5ju,2022-01-21,google,cpc,back_to_school,False,1.88
eui2w8,2022-07-25,google,cpm,summer_sale,False,0.58
qu6x3f,2022-07-12,google,cpm,back_to_school,False,1.76
589txi,2022-10-13,facebook,cpm,back_to_school,False,0.89
dlpdax,2022-01-30,facebook,email,summer_sale,False,0.67
rcvqzq,2022-12-21,google,cpc,holiday_season,False,2.16
vftd0a,2022-03-18,google,cpc,back_to_school,False,1.9
hhysrz,2022-01-24,twitter,cpc,holiday_season,True,1.45
mj75z8,2022-04-20,facebook,email,back_to_school,False,0.42
5tshdk,2022-10-04,facebook,cpm,holiday_season,False,1.91
wyciqu,2022-05-18,google,cpc,holiday_season,False,1.8
tzbc85,2022-08-15,facebook,email,back_to_school,True,0.15
d8xklw,2022-10-17,twitter,cpc,holiday_season,False,2.05
16b6tm,2022-03-03,facebook,email,summer_sale,False,2.24
2cj8q7,2022-04-29,twitter,cpm,holiday_season,False,1.6
5bphl0,2022-01-30,twitter,cpm,summer_sale,True,2.33
6aafjf,2022-12-08,twitter,email,back_to_school,True,2.14
n27q3d,2022-02-07,google,cpc,back_to_school,True,0.33
82fb6o,2022-03-27,twitter,cpc,holiday_season,False,1.51
ihtvkf,2022-09-12,twitter,email,back_to_school,False,2.38
opxcvb,2022-09-29,google,email,holiday_season,False,0.53
4s3wsl,2022-06-20,facebook,cpm,back_to_school,False,2.08
ulyrdw,2022-10-13,google,cpc,summer_sale,True,2.28
3xxcnf,2022-05-08,google,email,back_to_school,False,0.5
x91il5,2022-09-01,google,email,back_to_school,False,0.88
14hu49,2022-01-29,twitter,email,back_to_school,True,2.09
le47z7,2022-03-27,google,email,holiday_season,False,1.59
8w4rci,2022-06-27,facebook,cpc,summer_sale,True,1.47
4dtoq1,2022-05-21,facebook,cpm,back_to_school,False,0.56
xd6caj,2022-02-28,google,email,back_to_school,False,2.3
mmveuq,2022-11-20,twitter,cpm,holiday_season,False,0.98
czvyva,2022-11-09,twitter,cpc,holiday_season,False,0.03
m5mgtb,2022-03-15,google,cpc,summer_sale,False,1.19
j4kdh2,2022-03-08,facebook,cpm,back_to_school,False,1.8
ldmfl8,2022-08-16,twitter,cpm,holiday_season,False,1.99
2c92ay,2022-06-22,google,email,holiday_season,False,0.37
rkowlz,2022-04-12,facebook,cpc,holiday_season,False,1.87
lnjld8,2022-07-11,google,cpc,summer_sale,False,1.46
3xa2jv,2022-01-12,facebook,cpm,summer_sale,True,0.11
uzj2h1,2022-03-22,google,cpc,summer_sale,False,2.29
1mqih9,2022-01-02,twitter,cpc,holiday_season,True,0.87
v59m7m,2022-11-17,twitter,cpm,back_to_school,False,0.86
rsthm9,2022-10-01,google,cpm,summer_sale,False,0.78
5z8jy5,2022-04-15,google,cpc,back_to_school,False,0.74
ch6xi1,2022-11-20,facebook,email,back_to_school,False,0.95
pbpzej,2022-06-30,facebook,cpm,back_to_school,False,1.27
f4x56s,2022-04-03,facebook,cpm,holiday_season,False,0.5
ez491z,2022-01-18,facebook,cpc,back_to_school,False,1.59
ecjwsr,2022-10-05,google,cpm,summer_sale,False,2.06
3fvi5y,2022-05-26,google,email,back_to_school,False,1.28
sm3umn,2022-12-11,facebook,cpm,summer_sale,False,0.17
54ywck,2022-04-01,twitter,cpc,holiday_season,True,1.34
fvk5sh,2022-06-17,facebook,email,holiday_season,False,2.23
kc9i4q,2022-06-22,google,cpc,back_to_school,False,1.37
0g8rkb,2022-12-15,twitter,cpc,back_to_school,False,1.43
cmadrl,2022-01-17,google,email,back_to_school,False,0.28
48fkfr,2022-04-21,facebook,cpm,summer_sale,False,0.94
h1gu2a,2022-11-17,twitter,cpc,back_to_school,False,0.45
nupt2m,2022-01-27,google,cpm,holiday_season,False,1.7
f56qzo,2022-09-20,facebook,email,back_to_school,False,0.78
fyfk5t,2022-07-26,facebook,cpm,holiday_season,False,0.39
a98u08,2022-09-19,twitter,cpc,back_to_school,False,0.97
xoy4vm,2022-05-19,google,cpc,holiday_season,False,1.3
3izeek,2022-03-14,facebook,email,summer_sale,False,2.5
l0isab,2022-06-11,google,email,holiday_season,False,0.44
a5uvwq,2022-02-21,facebook,cpc,back_to_school,False,0.92
3kn358,2022-10-27,facebook,email,back_to_school,False,1.44
00ukhq,2022-05-21,google,email,summer_sale,True,0.71
ohvs8n,2022-09-27,facebook,cpc,summer_sale,False,2.08
btwdtb,2022-04-29,facebook,cpm,holiday_season,False,0.98
y0fyly,2022-08-08,google,email,summer_sale,False,1.93
dxneew,2022-05-07,google,cpc,summer_sale,False,1.17
i0zw2o,2022-11-27,twitter,email,summer_sale,False,0.81
f0wdau,2022-08-15,google,cpm,back_to_school,True,2.35
xfnbic,2022-01-28,facebook,cpm,back_to_school,False,1.89
k2nqnp,2022-07-12,google,email,back_to_school,False,1.52
wpig9w,2022-06-17,facebook,cpm,back_to_school,False,0.39
7cabyt,2022-07-22,facebook,cpc,holiday_season,False,2.49
z7b5ia,2022-01-15,google,cpc,summer_sale,False,2.44
pyjwzh,2022-06-08,twitter,cpc,back_to_school,False,1.2
6t256m,2022-08-03,twitter,cpm,back_to_school,True,1.71
9387jq,2022-07-18,twitter,cpc,summer_sale,False,1.22
h447qy,2022-09-11,twitter,cpc,summer_sale,False,0.27
xhae8h,2022-08-12,google,cpc,holiday_season,False,0.34
pz2ndh,2022-08-13,facebook,email,back_to_school,False,1.5
jzsam2,2022-10-21,facebook,cpc,back_to_school,False,1.06
ih4vsj,2022-05-13,google,cpc,holiday_season,False,1.65
xub3ef,2022-03-18,twitter,cpm,holiday_season,False,0.34
wov5ej,2022-11-22,facebook,cpc,holiday_season,False,1.7
5ty2jx,2022-04-01,google,email,holiday_season,False,1.09
zvg6a9,2022-07-09,google,cpc,back_to_school,False,0.17
o70jc3,2022-07-16,google,email,holiday_season,False,1.81
wo26ov,2022-06-13,twitter,cpc,back_to_school,True,1.83
7gtu3q,2022-12-14,twitter,email,back_to_school,False,0.75
jbcx0d,2022-06-02,twitter,cpm,holiday_season,False,2.41
ufvlvk,2022-10-29,google,cpm,summer_sale,False,2.29
ggixdc,2022-06-26,google,cpc,back_to_school,False,0.31
2hyyr0,2022-08-16,google,email,holiday_season,False,0.97
mqr64e,2022-02-24,twitter,email,back_to_school,False,1.46
aqgoof,2022-05-04,google,email,holiday_season,False,1.91
n6ujzz,2022-09-17,twitter,cpm,holiday_season,False,1.63
coete8,2022-03-05,facebook,email,holiday_season,False,0.08
j9z5xj,2022-09-19,google,cpm,holiday_season,False,0.06
z120xr,2022-07-12,twitter,cpm,holiday_season,False,1.45
lqonbn,2022-04-03,google,cpc,holiday_season,False,2.06
bombn4,2022-09-30,twitter,cpm,holiday_season,False,0.28
xpz9u6,2022-03-09,twitter,cpc,summer_sale,False,0.64
kxzxwu,2022-09-09,twitter,cpm,holiday_season,False,0.13
ehq9cv,2022-03-01,facebook,cpc,summer_sale,False,0.63
gy0jij,2022-08-16,google,cpc,back_to_school,False,0.74
je6gxs,2022-01-03,twitter,cpm,holiday_season,False,2.2
uqatx6,2022-10-28,twitter,cpc,summer_sale,False,1.15
o54qj7,2022-01-25,facebook,email,back_to_school,False,2.3
c6sujt,2022-02-17,facebook,cpc,summer_sale,False,2.22
k0iv04,2022-06-10,google,cpc,back_to_school,True,1.01
v1rol7,2022-03-04,twitter,cpc,holiday_season,False,2.15
jpotzp,2022-06-22,twitter,email,back_to_school,False,0.53
nviv6o,2022-09-21,google,cpm,summer_sale,False,0.69
ox766t,2022-05-18,google,cpc,summer_sale,False,0.63
3e7sbx,2022-11-23,facebook,email,summer_sale,False,2.17
e7d7sj,2022-03-14,twitter,cpm,holiday_season,False,0.41
746xmd,2022-07-09,facebook,email,back_to_school,False,0.94
mhf407,2022-09-25,facebook,email,summer_sale,False,1.7
jg9z1m,2022-07-18,facebook,cpc,summer_sale,False,2.45
msre2m,2022-05-25,facebook,cpm,summer_sale,True,1.47
qbsqcn,2022-04-02,facebook,cpc,holiday_season,False,0.15
chpir0,2022-04-25,facebook,cpc,holiday_season,True,0.65
tarn4l,2022-11-10,twitter,email,holiday_season,False,1.46
nhevv2,2022-08-24,facebook,cpc,back_to_school,True,1.24
4zq7b7,2022-03-18,twitter,cpc,summer_sale,False,2.25
fp53wp,2022-01-31,google,email,back_to_school,False,0.84
wa5u68,2022-04-26,facebook,cpc,back_to_school,False,0.02
mrxl2e,2022-02-02,facebook,email,back_to_school,False,2.27
111gwn,2022-12-03,facebook,email,back_to_school,False,0.55
2aya7v,2022-05-13,google,cpc,summer_sale,False,1.35
59vfhm,2022-05-09,facebook,email,summer_sale,False,2.08
s48663,2022-08-31,google,email,back_to_school,False,1.85
3hz3o4,2022-04-30,google,email,back_to_school,True,1.79
j7kq8f,2022-05-05,facebook,cpc,holiday_season,False,0.25
jojd1i,2022-03-11,google,email,back_to_school,False,0.51
gvu2qc,2022-03-08,google,cpc,back_to_school,False,0.53
knfjqv,2022-05-26,facebook,cpm,back_to_school,False,1.34
wq995l,2022-11-20,twitter,email,back_to_school,False,0.49
161w4a,2022-06-13,google,email,back_to_school,False,0.26
4zxpuf,2022-04-26,twitter,email,summer_sale,False,0.49
sjm7c3,2022-03-11,twitter,cpm,back_to_school,False,0.94
37xwbs,2022-01-19,google,cpm,back_to_school,False,0.34
fy83wu,2022-06-12,google,email,holiday_season,False,1.05
l9ybg8,2022-09-27,twitter,cpm,back_to_school,True,0.7
lj5ps7,2022-11-13,facebook,cpm,summer_sale,False,1.74
ypbhjh,2022-05-03,facebook,cpc,summer_sale,False,0.49
ibrpoj,2022-06-17,facebook,email,summer_sale,False,1.51
eq4gz1,2022-06-08,twitter,email,summer_sale,False,2.31
bn3wzq,2022-01-14,facebook,cpm,back_to_school,False,0.29
djvmz2,2022-05-08,google,email,back_to_school,False,0.74
i95xw5,2022-10-07,facebook,cpc,summer_sale,False,0.22
dbsdab,2022-03-06,twitter,email,back_to_school,False,1.37
ogwz6f,2022-04-07,facebook,email,holiday_season,False,1.85
dh5jn6,2022-03-30,twitter,cpc,back_to_school,False,0.73
a75cmi,2022-10-18,twitter,cpc,back_to_school,False,1.37
tv559c,2022-12-27,google,cpc,holiday_season,False,2.26
qhku5s,2022-11-01,facebook,email,back_to_school,True,1.5
zmfsq4,2022-06-07,twitter,cpc,holiday_season,False,1.17
6ngdf4,2022-03-18,google,cpc,summer_sale,False,1.47
l5suue,2022-09-29,google,cpc,summer_sale,False,0.91
fe8cal,2022-12-29,google,cpm,summer_sale,False,0.12
9nqk0r,2022-07-07,google,cpc,summer_sale,False,1.12
x07vj5,2022-07-06,facebook,cpc,back_to_school,False,2.15
auzz0q,2022-06-19,google,email,back_to_school,True,0.54
wpym05,2022-09-22,google,cpc,holiday_season,False,0.4
886pw1,2022-01-15,twitter,cpc,holiday_season,False,0.88
krkfh7,2022-08-10,twitter,email,back_to_school,False,1.78
3utmfb,2022-01-24,google,cpc,holiday_season,False,1.84
wl0cvj,2022-01-31,google,cpc,back_to_school,False,0.51
vc4i48,2022-11-18,facebook,cpm,back_to_school,False,0.08
d0urs5,2022-03-14,google,cpm,summer_sale,False,0.67
dnh4pu,2022-12-02,google,email,back_to_school,False,1.93
25jcda,2022-08-23,google,cpc,holiday_season,False,2.2
26iv2t,2022-04-22,facebook,email,holiday_season,False,0.62
s4jwd8,2022-06-01,facebook,cpm,summer_sale,False,0.38
twtbfr,2022-05-25,google,cpm,summer_sale,False,0.81
j0noam,2022-03-10,facebook,cpc,summer_sale,False,1.43
tyd0g9,2022-05-26,twitter,email,back_to_school,False,1.33
6jnmyt,2022-08-17,google,email,back_to_school,True,2.39
2v2np0,2022-05-13,google,cpm,back_to_school,False,0.84
6c5h3h,2022-09-11,twitter,cpc,summer_sale,False,2.12
jeyqox,2022-03-22,facebook,email,back_to_school,False,0.99
ptifcz,2022-12-09,twitter,email,holiday_season,False,0.11
ekfdqd,2022-01-21,facebook,cpm,back_to_school,False,1.36
l5rq3k,2022-09-05,twitter,email,back_to_school,False,1.3
78p8mb,2022-04-12,google,email,summer_sale,False,0.81
zy1rty,2022-10-01,twitter,email,back_to_school,False,0.44
94tk8x,2022-07-03,google,cpc,summer_sale,False,0.22
a7yuf4,2022-08-16,google,cpc,back_to_school,False,1.53
i316en,2022-03-07,facebook,cpc,back_to_school,False,1.49
p0ly3h,2022-12-15,facebook,email,holiday_season,True,0.36
zpkve7,2022-01-26,twitter,email,holiday_season,False,0.61
plixs8,2022-04-27,twitter,cpm,holiday_season,False,1.97
zx3omm,2022-09-24,google,cpc,summer_sale,False,0.36
jg7ih9,2022-02-24,facebook,email,back_to_school,False,1.05
ksixhv,2022-12-28,facebook,cpc,holiday_season,False,0.35
c7c7x9,2022-04-17,google,email,summer_sale,False,1.08
m4dy1b,2022-10-11,twitter,cpm,summer_sale,False,1.01
up2whh,2022-08-01,google,cpc,holiday_season,False,0.36
yj8hbz,2022-07-04,twitter,cpm,holiday_season,False,0.41
yb4jbc,2022-11-09,google,cpc,back_to_school,False,2.45
ykpah3,2022-03-29,facebook,cpc,summer_sale,False,2.11
xuyym7,2022-06-22,google,cpm,holiday_season,False,0.87
ekrvlg,2022-05-12,twitter,cpm,back_to_school,True,1.14
kov0fu,2022-02-25,facebook,cpm,summer_sale,False,0.06
c8x25z,2022-10-19,google,email,back_to_school,False,1.59
x7567u,2022-10-27,google,cpm,summer_sale,False,1.27
p4lylr,2022-02-10,google,cpm,back_to_school,False,1.0
ncbnyj,2022-01-23,twitter,cpc,holiday_season,True,0.58
2cfwpd,2022-10-20,twitter,cpm,back_to_school,False,0.86
8v8dq3,2022-06-20,google,email,back_to_school,False,1.18
dg58we,2022-12-26,twitter,cpc,holiday_season,False,0.93
50xjfk,2022-02-15,facebook,cpc,holiday_season,False,0.94
6pd1e2,2022-01-28,google,email,holiday_season,False,1.99
4sod2z,2022-03-30,twitter,email,holiday_season,False,1.94
fcu9ix,2022-03-08,google,email,back_to_school,True,0.26
6wexj4,2022-03-13,facebook,cpm,summer_sale,False,0.96
68udq6,2022-08-04,twitter,cpm,holiday_season,False,0.19
87o7lg,2022-02-01,twitter,cpm,holiday_season,False,1.24
zbt7pm,2022-10-18,twitter,cpc,back_to_school,False,0.57
fy4bib,2022-09-06,facebook,email,back_to_school,False,2.26
3ye18a,2022-07-19,facebook,email,back_to_school,False,0.14
emgd6m,2022-06-14,facebook,cpm,summer_sale,False,2.25
hg817x,2022-02-21,facebook,email,back_to_school,False,1.62
xmnmug,2022-08-01,google,email,back_to_school,False,0.24
6iyat3,2022-05-08,twitter,email,back_to_school,True,2.46
2ovbny,2022-06-16,twitter,cpm,back_to_school,True,1.43
dg8w7y,2022-03-04,twitter,email,summer_sale,False,1.64
5ji1z1,2022-12-26,twitter,cpc,holiday_season,False,2.28
mpl3c8,2022-08-28,twitter,cpm,summer_sale,False,1.76
1gme4e,2022-09-30,facebook,cpc,holiday_season,True,1.15
dhpf61,2022-11-09,twitter,email,summer_sale,False,0.64
e1ibnx,2022-09-10,google,cpc,back_to_school,False,2.36
2p8rzf,2022-10-03,facebook,email,summer_sale,False,0.94
eaozg7,2022-03-21,facebook,email,holiday_season,False,1.76
ptqvxe,2022-06-23,google,email,holiday_season,False,1.37
mw687w,2022-03-16,twitter,cpc,summer_sale,False,0.45
h25ser,2022-08-11,twitter,email,summer_sale,False,2.14
qgvvxz,2022-05-31,twitter,cpm,holiday_season,False,0.71
ngrqnd,2022-07-07,twitter,cpm,summer_sale,False,0.69
k86ioy,2022-07-05,facebook,cpc,back_to_school,False,0.71
