kraj,okres,obec,cintorín,národnosť,dôvodÚmrtia,dátumÚmrtia,početHrobov,početPochovaných,GPS
Trnavský,Stará Ďala,Marcelová,spoločný,"7 domáci
1 neznámy
",-,-,8,8,47.792073 18.277071
Trnavský,Stará Ďala,Nasvad,katolícky,"1 slov.
1 juh.
",-,-,2,2,49.169917 18.925301
Trnavský,Stará Ďala,Nová Dala,židovský obecný,"maď. boľš.
","padol
","6/1919
",1,1,47.868832 18.268625
Trnavský,Stará Ďala,Perbete,obecný,"1 čes.,1 slov.
1 maď. boľš.
4 neznámi
","padli v boji s boľš. padol
padli
","6/1919
6/1919
6/1919
",5,5,47.90511 18.309498
Trnavský,Stará Ďala,Perbete,židovský,"maď. boľš.
","padol
","6/1919
",1,1,47.90511 18.309498
Trnavský,Stará Ďala,Radvaň nad Dunajom,súkromný,"maď.
","padol
","6/1919
",1,1,47.761913 18.358793
Trnavský,Stará Ďala,Svätý Peter,katolícky,"2 čs.
1 boľš.
","padol
","6/1919
",3,3,47.831078 18.21311
Prešovský,Stará Ľubovňa,Jakubiany,gréckokatolícky,"domáci
",-,-,1,1,49.24661 20.69494
Prešovský,Stará Ľubovňa,Jarabina,pravoslávny obecný,"domáci
",-,-,1,1,49.363673 20.660311
Prešovský,Stará Ľubovňa,Lacková,katolícky obecný,"domáci
",-,-,2,2,49.416667 21.1
Prešovský,Stará Ľubovňa,Malý Lipník,gréckokatolícky,"čs.
",-,-,2,2,49.336436 20.782579
Prešovský,Stará Ľubovňa,Niž. Ružbachy,katolícky obecný,"domáci
",-,-,2,2,49.30319 20.56627
Prešovský,Stará Ľubovňa,Nová Ľubovňa,-,"domáci
",-,-,1,1,49.26776 20.684389
Prešovský,Stará Ľubovňa,Stará Ľubovňa,katolícky obecný,"1 domáci
1 rum.
1 juh
1 neznámy
",-,-,4,4,49.302222 20.690556
Prešovský,Stará Ľubovňa,Vyšnie Ružbachy,katolícky obecný,"domáci
",-,-,1,1,49.349 18.49706
Nitriansky,Šaľa,Horná Kráľová,obecný,"1 domáci
1 juh
",-,-,2,2,48.240832 17.900372
Nitriansky,Šaľa,Močenok,obecný,"1 rus.
1 juh.
1 rum.
",-,-,3,3,48.214256 17.938556
Nitriansky,Šaľa,Šintava,obecný,"juh.
",-,-,1,1,48.285822 17.772415
Nitriansky,Šaľa,Šoporňa,obecný,"neznámi
",-,-,3,3,48.227771 17.835647
Nitriansky,Šaľa,Diakovce,katolícky obecný,"2 domáci
1 maď.
2 rus.
",-,-,5,5,48.134002 17.823404
Nitriansky,Šaľa,Diakovce,evanjelický obecný,"domáci
",-,-,1,1,48.134002 17.823404
Nitriansky,Šaľa,Farkašd nad Váhom,katolícky,"2 slov.
1 maď.
",-,-,3,3,49.21144 18.59327
Nitriansky,Šaľa,Farkašd nad Váhom,evanjelický,"domáci
",-,-,10,10,49.21144 18.59327
Nitriansky,Šaľa,Horný Jatov,obecný,"rus.
",-,-,1,1,48.337198 17.558884
Nitriansky,Šaľa,Hornia Králová nad Váhom,obecný,"domáci
",-,-,1,1,48.65593 17.84268
Nitriansky,Šaľa,Nedeď,katolícky obecný,"6 domáci
1 poľ.
1 rus.
",-,-,8,8,48.005095 17.953579
Nitriansky,Šaľa,Nedeď,evanjelický,"10 čs.
3 rus.
",-,-,11,11,48.005095 17.953579
Nitriansky,Šaľa,Pered,katolícky obecný,"7 dom.
1 juh.
",-,-,8,8,48.087317 17.844355
Nitriansky,Šaľa,Šaľa,obecný,"9 d.
1 maď.
2 rum.
",-,-,12,12,48.151389 17.875833
Nitriansky,Šaľa,Šaľa,židovský,"čs
",-,-,3,3,48.151389 17.875833
Nitriansky,Šaľa,Šók,katolícky obecný,"domáci
",-,-,2,2,48.56553 20.121594
Nitriansky,Šaľa,Trnovec nad Váhom,katolícky,"3 čs.
3 poľ.
1 rus.
1 rum.
",-,-,-,-,48.142748 17.949402
Nitriansky,Šaľa,Veča,obecný,"1 čs.
1 juh.
",-,-,2,2,48.16456 17.88638
Nitriansky,Šaľa,Žigard,katolícky obecný,"domáci
",-,-,2,2,48.071386 17.888083
Nitriansky,Šaľa,Žigard,evanjelický obecný,"domáci
",-,-,4,4,48.071386 17.888083
Nitriansky,Šaľa,Šamorín,evanjelický,"rus.
",-,-,1,1,48.027583 17.311571
Nitriansky,Šaľa,Šamorín,židovský,"rus.  židia
",-,-,8,8,48.027583 17.311571
Trnavský,Šamorín,Biskupice,katolícky obecný,"čs.
",-,-,3,3,48.245487 19.829181
Trnavský,Šamorín,Komárov,obecný,"domáci
",-,-,1,1,49.278574 21.347603
Trnavský,Šamorín,Béke,katolícky súkromný,"slov.
",-,-,1,1,48.064304 17.397816
Trnavský,Šamorín,Bucsuháza,obecný,"domáci
",-,-,1,1,48.02939 17.33571
Trnavský,Šamorín,Dolnie Janíky,katolícky obecný,"domáci
",-,-,1,1,48.42424 18.12149
Trnavský,Šamorín,Fél,katolícky obecný,"domáci
",-,-,1,1,48.146688 17.32877
Trnavský,Šamorín,Gutor,obecný,"neznámy
",-,-,1,1,48.031944 17.251439
Trnavský,Šamorín,Šamorín,zajatecký,"5 čs.
61 poľ.
2 lit.
3 lot.
1678 tal.
1 rak.
20 juh
26 rum.
637 rus.
10 neznámi
",-,-,2459,2459,48.027583 17.311571
Trnavský,Šamorín,Jelka,katolícky obecný,"3 domáci
1 neznámy
",-,-,4,4,48.141173 17.517191
Trnavský,Šamorín,Šamorín,evanjelický obecný,"1 rus.
1 juh.
",-,-,3,3,48.027583 17.311571
Trnavský,Šamorín,Šamorín,židovský obecný,"2 domáci
6 poľ.
8 rus.
2 rum.
3 neznámi
",-,-,21,21,48.027583 17.311571
Trnavský,Šamorín,Vajka,katolícky obecný,"domáci
",-,-,1,1,47.958253 17.396659
Trnavský,Šamorín,Veľká Paka,obecný,"domáci
",-,-,1,1,48.040457 17.400396
Trnavský,Šamorín,Veľký Mager,obecný,"rus.
",-,-,1,1,48.21426 17.36057
Nitriansky,Topoľčany,Bojná,obecný,"domáci
",-,-,1,1,48.59768 18.025739
Nitriansky,Topoľčany,Hajná Nová Ves,obecný,"tal.
",-,-,1,1,48.536914 18.03984
Nitriansky,Topoľčany,Hornie Obdokovce,obecný,"rus.
",-,-,2,2,48.49578 18.67286
Nitriansky,Topoľčany,Hradište,katolícky obecný,"domáci
",-,-,2,2,48.506281 19.717338
Nitriansky,Topoľčany,Hrušovany,katolícky obecný,"1 dom.
1 rus
",-,-,2,2,48.438204 18.084011
Nitriansky,Topoľčany,Chyjnorany,obecný,"domáci
",-,-,2,2,48.60985 18.27388
Nitriansky,Topoľčany,Lovasovce,obecný,"1 dom.
1 rus
",-,-,2,2,48.755492 17.32206
Nitriansky,Topoľčany,Ludanice,obecný,"juh.
",-,-,1,1,48.48301 18.09667
Nitriansky,Topoľčany,Navojovce,katolícky obecný,"domáci
",-,-,1,1,48.6464 18.36384
Nitriansky,Topoľčany,Oponice,katolícky obecný,"2 slov.
1 maď.
1 poľ.
3 rum
1 juh.
1 tur.
2 neznámi
",-,-,1,11,48.458903 18.143586
Nitriansky,Topoľčany,Pažiť,obecný,"domáci
",-,-,1,1,48.622876 18.454719
Nitriansky,Topoľčany,Preselany,obecný,"domáci
",-,-,3,3,48.450855 18.089223
Nitriansky,Topoľčany,Rajčany,obecný,"domáci
",-,-,1,1,48.61444 18.232556
Nitriansky,Topoľčany,Selčany,katolícky obecný,"maď. boľš.
","zastrelení
","11/1919
",4,4,48.15482 19.18918
Nitriansky,Topoľčany,Skačany,katolícky obecný,"domáci
",-,-,1,1,48.672432 18.39737
Nitriansky,Topoľčany,Topoľčany,obecný,"21 čs.
1 rak.
2 poľ.
5 rum
1 juh.
3 neznámi
",-,-,33,33,48.5583 18.2069
Nitriansky,Topoľčany,Topoľčany,-,"2 slov.
1 rum.
6 juh.
7 rus.
7 neznámi
",-,-,23,23,48.5583 18.2069
Nitriansky,Topoľčany,Topoľčany,židovský obecný,"1 dom.
1 rus
",-,-,2,2,48.5583 18.2069
Nitriansky,Topoľčany,Továrniky,obecný,"1 domáci
1 rum.
1 maď.
1 neznámy
",-,-,4,4,48.571888 18.141548
Nitriansky,Topoľčany,Urmince,katolícky obecný,"domáci
",-,-,1,1,48.536996 18.101232
Nitriansky,Topoľčany,Veľké Bielice,katolícky obecný,"domáci
",-,-,2,2,48.30792 17.93827
Nitriansky,Topoľčany,Veľké Bošany,katolícky obecný,"domáci
",-,-,1,1,48.840324 21.030912
Nitriansky,Topoľčany,Žabokreky nad Nitrou,katolícky obecný,"domáci
",-,-,1,1,48.624836 18.308591
Banskobystrický,Tornala,Abovce,obecný,"maď.
",-,-,1,1,48.31133 20.338123
Banskobystrický,Tornala,Behynce,obecný,"neznámy
",-,-,1,1,48.521757 17.969293
Banskobystrický,Tornala,Čoltovo,obecný,"2 čs.
2 maď.
1 neznámy
",-,-,1,1,48.487766 20.396545
Banskobystrický,Tornala,Držkovce,obecný,"7 domáci
1
neznámy tal. legion.
",-,-,7,7,48.544364 20.233365
Banskobystrický,Tornala,Gemer,obecný,"neznámi
","2 maď. boľš. padli
v boji proti čs. vojsku
","6/1919
",2,2,48.449018 20.325331
Banskobystrický,Tornala,Hubovo,evanjelický obecný,"2 čs.
",-,-,2,2,48.400953 20.381285
Banskobystrický,Tornala,Chvalová,evanjelický,"domáci
",-,-,2,2,48.513436 20.162841
Banskobystrický,Tornala,Kesovce,evanjelický obecný,"domáci
",-,-,1,1,48.376335 20.362078
Banskobystrický,Tornala,Lenka,evanjelický obecný,"čs. legionár
","padol v boji proti
maďarom
","4/1919
",1,1,48.387968 20.346882
Banskobystrický,Tornala,Levart,obecný,"poľ.
",-,-,1,1,48.5107 20.259032
Banskobystrický,Tornala,Polina,evanjelický,"čs.
",-,-,2,2,48.493907 20.225831
Banskobystrický,Tornala,Rašice,evanjelický,"domáci
",-,-,1,1,48.463143 20.233255
Banskobystrický,Tornala,Skereševo,evanjelický,"domáci
",-,-,1,1,48.50405 20.20058
Banskobystrický,Tornala,Starňa,evanjelický obecný,"neznámi
",-,-,3,3,48.806887 17.598865
Banskobystrický,Tornala,Svatý Král,obecný,"domáci
",-,-,1,1,48.27094 18.65549
Banskobystrický,Tornala,Šankovce,katolícky,"neznámy
",-,-,1,1,48.48663 20.27707
Banskobystrický,Tornala,Štrkovec,evanjelický obecný,"neznámi
","padli v boji s maď.
boľševikmi
","6/1919
",2,2,48.360252 20.33245
Banskobystrický,Tornala,Tiba,obecný,"čs.
",-,-,2,2,48.738339 22.213168
Banskobystrický,Tornala,Tornala,obecný,"1 maď.
1 rus.
1 juh.
10 neznámi
",-,-,13,13,48.416769 20.323813
Banskobystrický,Tornala,Vyšnie Valice,evanjelický,"domáci
",-,-,2,2,48.449 20.19646
Banskobystrický,Tornala,Višňové,evanjelický,"čs.
",-,-,2,2,49.150857 18.798822
Banskobystrický,Tornala,Žiar,kalvínsky obecný,"domáci
",-,-,1,1,48.42901 20.265107
Trenčiansky,Trenčín,Trenčín,vojenský,"338 čs.
24 tal.
112 maď.
11 rak.
54 poľ.
122 rum.
4 nem.
86 rus.
17 tur.
3 neznámi
",-,-,771,771,48.9 18.033333
Trenčiansky,Trenčín,Drietoma,obecný,"domáci
",-,-,2,2,48.92777 17.918987
Trenčiansky,Trenčín,Adamovce,obecný,"juh.
",-,-,1,1,48.863672 17.917096
Trenčiansky,Trenčín,Bošáca,obecný,"1 dom.
1 rus
",-,-,5,5,48.850819 17.845809
Trenčiansky,Trenčín,Malé Stankovce,obecný,"domáci
","zastrelený pri rabov.
","11/1918
",1,1,48.701801 18.136487
Trenčiansky,Trenčín,Mních. Lehota,obecný,"domáci
",-,-,3,3,48.754716 18.668831
Trenčiansky,Trenčín,Nemšová,katolícky,"1 čes.
1 dom
","Čech zastrelený
","11/1918
",2,2,48.964615 18.117571
Trenčiansky,Trenčín,Opatovce,obecný,"domáci
",-,-,1,1,48.862692 17.974018
Trenčiansky,Trenčín,Rozvadze,obecný,"slov.
",-,-,1,1,49.029213 22.413945
Trenčiansky,Trenčín,Selec,obecný,"domáci
",-,-,1,1,48.778067 18.000445
Trenčiansky,Trenčín,Skalská N. Ves,obecný,"domáci
",-,-,2,2,49.1216 21.04429
Trenčiansky,Trenčín,Trenč. Teplá,obecný,"slov.
",-,-,2,2,48.822869 18.03418
Trenčiansky,Trenčín,Trenč. Teplá,-,"tur.
",-,-,1,1,48.822869 18.03418
Trenčiansky,Trenčín,Trenč. Turňa,obecný,"domáci
",-,-,1,1,48.60054 20.87784
Trenčiansky,Trenčín,Trenč. Bohuslavice,obecný,"1 dom.
1 tal.
",-,-,2,2,48.80259 17.85808
Trenčiansky,Trenčín,Trenč. Teplice,katolícky obecný,"13 čs.
2 maď.
2 rak.
6 juh.
5 poľ.
3 rum
1 neznámy
",-,-,32,32,48.822869 18.03418
Trenčiansky,Trenčín,Trenč. Teplice,židovský obecný,"slov.
",-,-,1,1,48.822869 18.03418
Trenčiansky,Trenčín,Veľké Bierovce,obecný,"domáci
",-,-,1,1,48.853176 17.977312
Trenčiansky,Trenčín,Zem. Podhradie,evanjelický,"domáci
",-,-,1,1,48.48298 17.26036
Trenčiansky,Trenčín,Trenčín,židovský,"11čs.
3 maď.
3 poľ.
1 rak.
1 rum.
",-,-,19,19,48.9 18.033333
Trenčiansky,Trenčín,Trenčín,evanjelický obecný,"3 čs.
1 maď.
1 nem.
",-,-,7,7,48.9 18.033333
Trenčiansky,Trenčín,Trenčín,katolícky obecný,"čs.
",-,-,2,2,48.9 18.033333
Trnavský,Trnava,Trnava,vojenský,"286 čs.
1 est
47 tal.
1 lot.
1 nem.
120 maď.
75 poľ.
103 rum.
137 rus
187 juh.
30 rak.
12 nezn.
",-,-,996,996,48.373611 17.595
Trnavský,Trnava,Bohdanovce,obecný,"čes.
",-,-,1,1,48.654434 21.405173
Trnavský,Trnava,Cífer,obecný,"čes.
",-,-,1,1,48.318666 17.49713
Trnavský,Trnava,Dolnie Orešany,obecný,"domáci
",-,-,2,2,48.20063 19.30619
Trnavský,Trnava,Zeleneč,katolícky,"domáci
",-,-,3,3,48.317817 17.590404
Trnavský,Trnava,Dolné Lovčice,katolícky obecný,"domáci
",-,-,1,1,48.370955 17.660533
Trnavský,Trnava,Majcichov,katolícky,"domáci
",-,-,1,1,48.290708 17.619914
Trnavský,Trnava,Majcichov,obecný,"domáci
","zastrel. pri rabovaní
","7/11/1918
",1,1,48.290708 17.619914
Trnavský,Trnava,Neštich,katolícky,"domáci
",-,-,2,2,48.274427 17.176376
Trnavský,Trnava,Radošovce,obecný,"domáci
",-,-,2,2,48.501267 17.649105
Trnavský,Trnava,Smolenice,katolícky,"slov.
",-,-,1,1,48.50617 17.415325
Trnavský,Trnava,Špačince,obecný,"domáci
",-,-,1,1,48.444712 17.599886
Trnavský,Trnava,Trnava,katolícky starý,"domáci
",-,-,1,1,48.373611 17.595
Trnavský,Trnava,Trnava,nový,"12 čs.
1 tal.
",-,-,13,13,48.373611 17.595
Trnavský,Trnava,Trnava,evanjelický obecný,"domáci
",-,-,2,2,48.373611 17.595
Trnavský,Trnava,Trnava,židovský,"19 čs.
7 maď.
1 rak.
9 poľ.
3 rum
2 rus.
",-,-,41,41,48.373611 17.595
Žilinský,Trstená,Liesek,katolícky obecný,"domáci
",-,-,1,1,49.3582 19.664441
Žilinský,Trstená,Oravský Biely Potok,katolícky obecný,"domáci
",-,-,1,1,49.271266 19.560904
Žilinský,Trstená,Suchá Hora,obecný,"rak.
",-,-,1,1,49.360074 19.782981
Žilinský,Trstená,Trstená,katolícky obecný,"3 dom.
1 čes.
1 poľ.
",-,-,5,5,49.363892 19.615641
Žilinský,Trstená,Tvrdošín,katolícky obecný,"1 tal.
1 rus.
",-,-,2,2,49.333611 19.555
Žilinský,Trstená,Ústie nad Oravou,katolícky obecný,"domáci
","1 zabitý pri vzbure v obci
","11/1918
",4,4,49.37274 19.55772
Bratislavský,Turčian. Sv. Martin,Belá,evanjelický,"3 domáci
1 slov.
",-,-,4,4,49.231318 18.965674
Bratislavský,Turčian. Sv. Martin,Benice,evanjelický,"domáci
",-,-,1,1,48.994509 18.869574
Bratislavský,Turčian. Sv. Martin,Blážovce,obecný,"čes.
",-,-,1,1,48.939869 18.844825
Bratislavský,Turčian. Sv. Martin,Budiš,katolícky obecný,"domáci
",-,-,1,1,48.85372 18.733927
Bratislavský,Turčian. Sv. Martin,Čremošné,evanjelický obecný,"domáci
",-,-,2,2,48.829302 18.970345
Bratislavský,Turčian. Sv. Martin,Háj,evanjelický obecný,"domáci
",-,-,1,1,48.637608 20.854231
Bratislavský,Turčian. Sv. Martin,Hornia Štubňa,katolícky obecný,"1 dom.
1 rak
",-,-,2,2,48.04049 17.48874
Bratislavský,Turčian. Sv. Martin,Jazernica,obecný,"domáci
",-,-,1,1,48.924734 18.82267
Bratislavský,Turčian. Sv. Martin,Karlová,evanjelický obecný,"1 dom.
1 čes
","Čech na explóziu
gran.
","6/1919
",2,2,48.960284 18.903172
Bratislavský,Turčian. Sv. Martin,Klačany,evanjelický obecný,"domáci
",-,-,1,1,48.388669 17.87022
Bratislavský,Turčian. Sv. Martin,Koštany nad Turcom,evanjelický obecný,"maď.
",-,-,1,1,49.023958 18.90472
Bratislavský,Turčian. Sv. Martin,Mošovce,obecný,"domáci
",-,-,1,1,48.886233 18.932558
Bratislavský,Turčian. Sv. Martin,Necpaly,evanjelický obecný,"domáci
",-,-,4,4,48.964672 19.015204
Bratislavský,Turčian. Sv. Martin,Priekopa,-,"domáci
",-,-,1,1,48.754431 22.278698
Bratislavský,Turčian. Sv. Martin,Rakovo,evanjelický obecný,"domáci
",-,-,1,1,48.982137 18.891006
Bratislavský,Turčian. Sv. Martin,Sklabiňa,katolícky obecný,"domáci
",-,-,1,1,49.041045 19.015051
Bratislavský,Turčian. Sv. Martin,Sklené,katolícky obecný,"domáci
",-,-,3,3,48.787128 18.827823
Bratislavský,Turčian. Sv. Martin,Svätý Peter,katolícky obecný,"domáci
",-,-,1,1,47.831078 18.21311
Bratislavský,Turčian. Sv. Martin,Trebostovo,obecný,"juh.
",-,-,1,1,49.038131 18.831968
Bratislavský,Turčian. Sv. Martin,Turč. Blatnica,evanjelický obecný,"domáci
",-,-,1,1,48.55602 17.96802
Bratislavský,Turčian. Sv. Martin,Turčiansky Sv. Martin,obecný,"2 slov.
1 čes
3 juh.
1 tur.
",-,-,7,7,49.02384 18.99304
Bratislavský,Turčian. Sv. Martin,Veľký Čepčín,obecný,"domáci
",-,-,2,2,48.884224 18.804307
Bratislavský,Turčian. Sv. Martin,Vieska,židovský,"domáci
",-,-,1,1,48.256929 19.465725
Bratislavský,Turčian. Sv. Martin,Vrícko,obecný,"domáci
",-,-,6,6,48.967362 18.689276
Bratislavský,Turčian. Sv. Martin,Vrútky,evanjelický,"9 čs.
1 maď.
1 nem.
2 poľ.
3 rum
5 neznámi
","z toho 1 Čech
","6/1919
",21,21,49.10886 18.92507
Bratislavský,Turčian. Sv. Martin,Záturčie,evanjelický obecný,"domáci
",-,-,2,2,48.8636 18.804592
Bratislavský,Turčian. Sv. Martin,Žabokreky,evanjelický obecný,"domáci
",-,-,1,1,49.027361 18.935121
Bratislavský,Turčian. Sv. Martin,Turany,obecný,"2 nez. Česi
","v boji s maď.
","22/11/1918
",1,2,49.090106 21.661495
Žilinský,Veľká Bytča,Hliník nad Váhom,obecný,"domáci
",-,-,1,1,48.536272 18.782036
Žilinský,Veľká Bytča,Kolárovice,obecný,"domáci
",-,-,1,1,49.300202 18.529008
Žilinský,Veľká Bytča,PaštinaZávada,katolícky,"domáci
",-,-,1,1,49.203251 18.6243
Žilinský,Veľká Bytča,Šťavník,obecný,"dom.
nezn.
",-,-,2,2,49.21593 21.56878
Žilinský,Veľká Bytča,Veľká Bytča,-,"3 dom.
1 čes
","výbuch gran.
","9/1919
",4,4,48.840324 21.030912
Žilinský,Veľká Bytča,Veľká Kotešová,obecný,"domáci
",-,-,1,1,48.533348 18.40481
Košický,Veľké Kapušany,Beša,evanjelický obecný,"domáci
",-,-,1,1,48.531488 21.949317
Košický,Veľké Kapušany,Čičarovce,gréckokatolícky obecný,"domáci
",-,-,1,1,48.54061 22.015327
Košický,Veľké Kapušany,Iškovce,evanjelický obecný,"domáci
",-,-,1,1,48.556147 21.950454
Košický,Veľké Kapušany,Komarovce,spoločný obecný,"domáci
",-,-,1,1,48.571075 21.111852
Košický,Veľké Kapušany,Pavlovce nad Uhom,obecný,"2 dom.
1 poľ.
1 slov
",-,-,4,4,48.61484 22.042682
Košický,Veľké Kapušany,Ruská,katolícky obecný,"slov.
",-,-,1,1,48.534131 22.145713
Nitriansky,Vráble,Babindol,katolícky obecný,"domáci
",-,-,1,1,48.287828 18.233266
Nitriansky,Vráble,Beša,katolícky,"juh.
","zastrelený pri obci
","7/1919
",1,1,48.531488 21.949317
Nitriansky,Vráble,Bešeňov,obecný,"maď. boľš.
","zastrelený pri obci
",-,1,1,48.043243 18.27185
Nitriansky,Vráble,Čifáry,obecný,"2 čes.
1 maď.
26 neznámi
","zastrelení pri obci
zastrelení v bojoch
","6/1919
6/1919
6/1919
",3,3,48.23239 18.39217
Nitriansky,Vráble,Ďarmoty nad Žitavou,katolícky obecný,"domáci
",-,-,2,2,48.3241 18.36236
Nitriansky,Vráble,Dolný Ďurad,katolícky obecný,"neznámi
","zahynuli v boji
","6/1919
",2,2,48.57715 17.64239
Nitriansky,Vráble,Dolný Ohaj,obecný,"3 domáci
2 maď.
","zastrelení pri obci
","6/1919
",3,3,48.078168 18.265067
Nitriansky,Vráble,Dolný Pial,katolícky obecný,"domáci
",-,"5/1919
",2,2,48.129043 18.464252
Nitriansky,Vráble,Dedinka,katolícky obecný,"domáci
",-,-,2,2,48.065182 18.410545
Nitriansky,Vráble,Horný Ďurad,katolícky obecný,"28 čs.
8 neznámi
","zastrelení v bojoch
padli v boji
","6/1919
6/1919
",9,9,48.41561 19.36315
Nitriansky,Vráble,Horný Ďurad,židovský obecný,"3 maď. boľ.
","zastrelení
","6/1919
",3,3,48.41561 19.36315
Nitriansky,Vráble,Horný Pial,katolícky obecný,"domáci
",-,-,1,1,48.15828 18.446774
Nitriansky,Vráble,Iňa,obecný,"domáci
",-,-,1,1,48.180843 18.422312
Nitriansky,Vráble,Mochovce,obecný,"maď. boľ.
","zastrelený pri obci
","6/1919
",1,1,48.716149 18.318183
Nitriansky,Vráble,Nová Ves nad Žitavou,katolícky obecný,"domáci
",-,-,2,2,48.284894 18.327238
Nitriansky,Vráble,Plavé Vozokany,katolícky obecný,"domáci
",-,-,2,2,48.072701 18.464798
Nitriansky,Vráble,Veľká Maňa,katolícky obecný,"2 domáci
1 nez.
1 juh.
",-,-,4,4,47.855781 17.769367
Nitriansky,Vráble,Vráble,katolícky obecný,"1 slov.
2 maď. boľ.
","padol v boji
padli pri Vrábloch
","6/1919
",3,3,48.244871 18.306572
Prešovský,Vranov n/ Topľou,Čemerné,vojenský súkromný,"12 čs.
6 maď.
3 poľ.
2 rum.
308 neznámi
",-,"1915
",1,331,48.613852 18.275669
Prešovský,Vranov n/ Topľou,Dobrá nad Ondavou,obecný,"neznámi
",-,"3/1915
",11,11,48.77045 21.78307
Prešovský,Vranov n/ Topľou,Dobrá nad Ondavou,židovský,"neznámi
",-,-,2,2,48.77045 21.78307
Prešovský,Vranov n/ Topľou,Kladzany,evanjelický,"domáci
",-,-,1,1,48.890617 21.755185
Prešovský,Vranov n/ Topľou,Malá Domaša,obecný,"neznámi
",-,"1915
",2,2,48.976268 21.713414
Prešovský,Vranov n/ Topľou,Matiašovce,obecný,"slov.
",-,"1915
",2,2,49.348183 20.359509
Prešovský,Vranov n/ Topľou,Poša,obecný,"domáci
",-,-,1,1,48.83363 21.764885
Prešovský,Vranov n/ Topľou,Rudlov,obecný,"domáci
","1 po strelnej rane
","8/1919
",2,2,48.927094 21.54399
Prešovský,Vranov n/ Topľou,Sačurov,obecný,"neznámi
",-,"1915
",3,3,48.825025 21.686972
Prešovský,Vranov n/ Topľou,Slovenská Kajňa,obecný,"neznámi
",-,-,3,3,48.974623 21.695355
Prešovský,Vranov n/ Topľou,Tovarné,obecný,"neznámi
",-,"1915
",9,9,48.920325 21.760651
Prešovský,Vranov n/ Topľou,Vranov n/ Topľou,vojenský obecný,"36 čs.
4 tal.
67 maď.
19 poľ.
8 rak.
25 juh.
15 rus.
36 rum.
36 neznámi
",-,-,246,246,49.01322 21.67601
Prešovský,Vranov n/ Topľou,Žalobín,katolícky obecný,"1 maď.
1 rak.
1 nez.
",-,"1915
",3,3,48.970669 21.745372
Nitriansky,Zlaté Moravce,Dolné Slažany,katolícky obecný,"2 domáci
1 juh.
",-,-,3,3,48.42424 18.12149
Nitriansky,Zlaté Moravce,Horné Slažany,katolícky obecný,"domáci
",-,-,1,1,48.0105 17.75353
Nitriansky,Zlaté Moravce,Hostie,obecný,"domáci
",-,-,1,1,48.461262 18.443329
Nitriansky,Zlaté Moravce,Hosťovce,obecný,"domáci
",-,-,3,3,48.450106 18.338945
Nitriansky,Zlaté Moravce,Choča,katolícky obecný,"domáci
",-,-,2,2,48.353639 18.325498
Nitriansky,Zlaté Moravce,Chýzerovce,katolícky obecný,"domáci
",-,-,1,1,48.368219 18.38424
Nitriansky,Zlaté Moravce,Kňazice,katolícky obecný,"domáci
",-,-,1,1,48.38984 18.474939
Nitriansky,Zlaté Moravce,Kozárovce,obecný,"3 čs.
1 tal.
8 neznámi
","1 Čech padol v boji proti boľš.
2 zastrel. v bojoch
","1919
1919
",10,10,48.307465 18.50745
Nitriansky,Zlaté Moravce,Ladice,obecný,"domáci
",-,-,3,3,48.392476 18.269503
Nitriansky,Zlaté Moravce,Lovce,obecný,"domáci
",-,-,5,5,48.4597 18.355275
Nitriansky,Zlaté Moravce,Machulince,obecný,"domáci
",-,-,3,3,48.418556 18.429442
Nitriansky,Zlaté Moravce,Neverice,obecný,"domáci
",-,-,1,1,48.365917 18.276221
Nitriansky,Zlaté Moravce,Nevidzany,obecný,"maď. boľ.
","padli 1919
",-,2,2,48.857049 18.502643
Nitriansky,Zlaté Moravce,Obyce,obecný,"domáci
",-,-,2,2,48.428981 18.490481
Nitriansky,Zlaté Moravce,Skýcov,obecný,"4 domáci
1 čes.
","na zranenie
","6/1919
",5,5,48.509132 18.421489
Nitriansky,Zlaté Moravce,Slepčany,katolícky obecný,"1 domáci
1 slov.
1 čes.
","zastrel. červ. gardou
","6/1919
",3,3,48.307801 18.334148
Nitriansky,Zlaté Moravce,Tesáry,obecný,"domáci
","1 zastrel. pri rabovaní
","11/1918
",8,8,48.20858 18.93199
Nitriansky,Zlaté Moravce,Topolčianky,katolícky obecný,"domáci
",-,-,4,4,48.450718 18.410241
Nitriansky,Zlaté Moravce,Velčice,katolícky obecný,"5 domáci
1 tal.
",-,-,6,6,48.443813 18.279547
Nitriansky,Zlaté Moravce,Veľké Chrasťany,obecný,"1 domáci
1 tal.
",-,-,-,-,48.50318 17.0017
Nitriansky,Zlaté Moravce,Verešvár,obecný,"maď. boľ.
","zastrelení pri obci
","6/1919
",2,2,48.301563 18.384743
Nitriansky,Zlaté Moravce,Vieska nad Žitavou,katolícky obecný,"domáci
",-,-,2,2,48.315822 18.364034
Nitriansky,Zlaté Moravce,Zlaté Moravce,katolícky obecný,"8 čs.
5 tal.
2 maď.
1 rum.
2 juh.
19 neznámi
","3 Česi padli pri obci
9 padlo v boji
","6/1919
6/1919
",21,21,48.383333 18.4
Nitriansky,Zlaté Moravce,Zlaté Moravce,židovský,"domáci
",-,-,1,1,48.383333 18.4
Nitriansky,Zlaté Moravce,Žikava,obecný,"domáci
",-,-,3,3,48.462706 18.381665
