Názov,Kraj,Okres,Obec,Popis obce,Lokalita,GPS,Popis fotky,Zoznam padlych,Datum narodenia,Datum umrtia
"Pomník padlým v I. svetovej vojne, Vrakuňa (Bratislava)",Bratislavský,Bratislava II,Bratislava – mestská časť Vrakuňa,Vrakuňa je mestskou časťou Bratislavy v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o osídlení pochádza z roku 1279 a v súčasnosti tu žije okolo 20.000 obyvateľov.,"Pomník sa nachádza na Poľnohospodárskej ulici 2, asi 60 m naľavo od Rímskokatolíckeho kostola Mena Panny Márie vo Vrakuni.",48.147204 17.206669,"Na snímke je pomník padlých vojakov v I. svetovej vojne, na ktorom figuruje 29 mien padlých vojakov. Pomník bol odhalený v roku 1933.","József Agh
Károly Agh
Lajos Agh
József Árpa
Antal Ásványi
Gáspár Bartalos
János Bazsó
Ignác Bíró
Lajos Fölrich
István Gutleber
János Hamer
Gyula Kausitz
János Koller
József Mayer
Nándor Hamacsek
István Molnár
János Németh
János Rosenberg
Gyula Szende
Mátyás Szigl
József Tóth
Ferenc Török
István Török
András Urbán
János Variasi
István Wenhardt
János Wenhardt
Mihály Zachariás
József Hamacsek","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Tabuľa padlým v I. svetovej vojne, Vajnory (Bratislava)",Bratislavský,Bratislava III,Bratislava – mestská časť Vajnory,Vajnory sú mestskou časťou Bratislavy v Bratislavskom samosprávnom kraji. Ležia Rozkladajú sa na úpätí Malých Karpát a prvá písomná zmienka o osídlení pochádza z roku 1237. V súčasnosti tu žije vyše 5.000 obyvateľov.,Tabuľa sa nachádza vnútri kaplnky v areáli Kostola Sedembolestnej Panny Márie na Osloboditeľskej ulici vo Vajnoroch.,48.206197 17.205854,"Na snímke je tabuľa na pamiatku padlých vojakov v I. svetovej vojne, na ktorej figuruje 56 mien padlých vojakov.","Štefan Bruder
Pavel Jangl
František Škvorec
Anton Kadnár
Štefan Stach
František Hlavaty
Matej Polák
Filip Zeman
Štefan Čík
Ján Nádaždy
Michal Panák
Ján Zeman
Štefan Vitaloš
Martin Panák
Pavel Zeman
Jozef Fekete
Jozef Grebeči
Štefan Zeman
Jozef Benčič
František Grebeči
Jozef Bednár
Pavel Panák
Ján Takáč
Ján Zeman
František Axamit
Pavel Zeman
Ján Krištofovič
František Gajdušek
Ján Polák
Jozef Fasung
Jozef Zeman
Jozef Žiška
Štefan Zeman
Jozef Krištofovič
Štefan Zeman
Jozef Fekete
Ján Žiška
Martin Jaslovsky
Martin Krištofovič
Štefan Panák
František Zeman
Viktor Nádaždy
Imrich Zeman
Jozef Zeman
Alois Novák
Michal Antalic
Ignác Múčka
Štefan Zeman
Ján Panák
Rudolf Slezák
Štefan Leška
Pavel Panák
František Zeman
František Zeman
Karol Zeman
Jozef Antalic","1871
1872
1874
1877
1878
1880
1880
1881
1881
1882
1882
1882
1883
1884
1884
1885
1885
1885
1886
1886
1887
1887
1887
1887
1888
1888
1888
1889
1889
1890
1890
1890
1891
1891
1892
1892
1892
1893
1893
1893
1893
1894
1894
1894
1894
1895
1895
1895
1895
1895
1896
1897
1897
1897
1897
1898","1917
1917
1914
1914
1918
1915
1915
1915
1914
1914
1919
1915
1915
1914
1915
1915
1915
1915
1914
1916
1914
1916
1916
1915
1915
1914
1916
1915
1918
1915
1915
1914
1916
1916
1915
1915
1915
1914
1915
1915
1916
1916
1915
1915
1915
1915
1916
1916
1915
1915
1918
1917
1918
1916
1918
1917"
"Pomník padlým v I. a II. svetovej vojne a bojovníkom proti fašizmu v II. svetovej vojne, Gajary",Bratislavský,Malacky,Gajary,Obec Gajary sa nachádza v Bratislavskom samosprávnom kraji asi 10 kilometrov severozápadne od okresného mesta Malacky na ľavom brehu rieky Morava. Prvá písomná zmienka pochádza z roku 1373 a v súčasnosti má približne 3000 obyvateľov.,Pomník sa nachádza pri západnej rožnej bašte Rímskokatolíckeho kostola Zvestovania Pána.,48.466479 16.923336,"Na snímke je pomník padlých vojakov v I. a II. svetovej vojne a bojovníkom proti fašizmu v II. svetovej vojne, na ktorom figuruje 155 mien padlých vojakov v I. a 4 v II. svetovej vojne. Autorom pomníka z roku 1922 je Kamil Babinec. V jeho hornej časti sa nachádza socha anjela, držiaceho v náručí umierajúceho vojaka.","Izidor Adamovič
Marcel Adamovič
Štefan Adamovič
Peter Andrla
Pavel Babinec
Jozef Babinec
Ján Balada
Jozef Baňár
Mikuláš Baňár
Ján Bartek
Ján Benkovič
Michal Benkovič
Ján Bezúch
František Buček
Jozef Buček
Jozef Buček
Tomáš Buček
Tomáš Burcl
Antonín Burcl
Pavel Cabada
Štefan Čechovský
Štefan Černý
Imrich Dubníček
Jindrich Dubníček
Jozef Dúška
Antonín Dvorák
Jozef Fajták
Jozef Fiala
Karol Galba
Michal Galba
Viktor Galba
Vendelín Hajzl
František Halla
Matúš Hahnl
Matej Hasprúňar
Alojz Haas
Štefan Hanzlovič
Jan Havelka
Gabriel Hnata
Jozef Hefka
Michal Hollý
Martin Hollý
Ján Hollý
Matej Horňáček
Štefan Hrubý
Jan Hoďovský
Jozef Hujsa
Ján Hujsa
Filip Hurban Ján Hurban
Gašpar Hurban
Ondrej Hurban
Jan Jurica
Michal Jurkovič
Ján Katerinec
Jindrich Kvapil
Ján Kolmos
Daniel Kopiar
Ján Kovarovič
Florian Kováč
Tomáš Koss
Jozef Klena
Antonín Kuňák
Matej Kuňák
Ján Leskovský
Ján Lima
Štefan Machata
František Martinkovič
Ján Matula
Ján Maruška
Pavel Miček
Ján Mráz
Ján Mráz
Peter Mráz
Valent Mráz
Michal Mošovský
Vendel Müller
Martin Orth
Ján Pernecký
Pavel Pollák
Štefan Pollák
Valent Pollák
Leopold Precechěl
Tomáš Privozník
Štefan Riška
Rudolf Riška
Jozef Rusňak
Jozef Šlezinger
Antonín Sláma
Ján Sláma
Ján Sláma
Ján Sláma
Matúš Sláma
Peter Sláma
Štefan Sloboda
Ignac Sovinec
Ján Spusta
Ján Spusta
Ján Spusta
Michal Spusta
Mikuláš Spusta
Pavel Spusta
Jozef Suchánek
Ján Surovič
František Surovič
Martin Surovič
František Šulc
František Šafránek
Matej Šira
Ján Šira
Gabriel Škopek
Ján Tikl
Ján Titz
Robert Toman
Ján Tomášek
Štefan Turan
Vendel Turner
František Vaniš
Pavel Vaniš
Michal Vlk
Jozef Vicen
Pavel Vismek
Juraj Veinreb
Jozef Zedníček
Ciril Zelenka
Augustín Zerzaň
Ján Žáček
Ján Žáček
František Žáček
František Žáček
Ondrej Žáček
Jozef Orth
Andrej Orth
Alfons Orth
Rudolf Partl
Štefan Střelecký
Vedelin Spusta
Ján Voltemar
Ján Žalec
Martin Žáček
Filip Žáček
Ján Zelenka
Izidor Zelenka
Vendel Blecha
Antonin Bartalský
Ján Borisek
Baltazar Duška
Ján Gúth
Martin Horváth
Ján Hornáček
Leopold Hlubocký
Florián Chmela
Martin Rusnák
Ján Mareček
Ján Orth","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. a II. svetovej vojne, Jakubov",Bratislavský,Malacky,Jakubov,Obec Jakubov leží v Bratislavskom samosprávnom kraji juhovýchodne od okresného mesta Malacky. Cez obec preteká riečka Malina. Prvá písomná zmienka pochádza z roku 1496 a v súčasnosti má približne 2100 obyvateľov.,Pomník sa nachádza na severnej strane Rímskokatolíckeho kostola sv. Filipa a Jakuba.,48.413477 16.927704,"Na snímke je pomník padlých vojakov v I. a II. svetovej vojne, na ktorom figuruje 34 mien padlých vojakov v I. a 5 v II. svetovej vojne. Autormi pomníka z roku 1934 sú Ladislav Slezák a Vladimír Bednarik. V jeho hornej časti sa nachádza socha stojaceho anjela, držiaceho v náručí umierajúceho vojaka. V dolnej časti je vyobrazený reliéf plačúcej matky s dieťaťom, ktorá si rukami zahaľuje tvár.","Jozef Orth
Jakub Kovanič
Martin Tamer
Martin Malinovský
Matej
Jozef Štepán
Ján Havlík
Štefan Moravčík
Jozef Lopoš
Jakub Homola
Ján Snopek
Jozef Jurkáček
Jozef Moravčík
Štefan Bukovský
František Slezák
Jozef Čermák
Štefan Škvorec
Ján Klíma
Ján Mravík
Pongrác Slezák
Ján Tamer
Alojz Jurkáček
Jozef Šarközy
Štefan Uherčík
Ján Chmela
Ján Moravčík
Jozef Polák
Jozef Šimek
Anton Jurkáček
Jozef Martinec
František Tamer
Alojz Chmela
Ferdinand Vicen
Jakub Mravík","1872
1874
1874
1877
1878
1879
1881
1881
1882
1883
1885
1887
1888
1890
1890
1891
1891
1892
1892
1892
1892
1893
1893
1893
1894
1894
1894
1894
1896
1896
1896
1897
1897
1898","1916
1918
1915
1915
1915
1914
1917
1915
1916
1916
1914
1917
1915
1914
1915
1915
1918
1918
1915
1914
1916
1915
1916
1915
1915
1915
1915
1917
1918
1916
1916
1916
1916
1918"
"Pomník padlým sovietskym vojakom a príslušníkom československej armády v SNP, padlým pri oslobodzovaní obce a v I. svetovej vojne, Kostolište",Bratislavský,Malacky,Kotolište,"Obec Kostolište leží v Záhorskej nížine v Bratislavskom samosprávnom kraji, len pár kilometrov západne od okresného mesta Malacky v doline potoka Ježovka. Prvá písomná zmienka je z roku 1271 a v súčasnosti tu žije vyše 1200 obyvateľov. ",Neďaleko Rímskokatolíckeho kostola sv. Martina biskupa z Tours v parku.,48.447159 16.986763,"Na snímke je pomník padlým sovietskym vojakom a príslušníkom československej armády v SNP, padlým pri oslobodzovaní obce a v I. svetovej vojne, na ktorom figuruje 30 mien padlých vojakov v I. svetovej vojne. Autorom pomníka z roku 1974 je Jozef Gavalík. Tabuľa, pripomínajúca padlých vojakov v I. svetovej vojne, bola odhalená v roku 100. výročia začiatku I. svetovej vojny (2014).","Martin Lonček
Štefan Binčík
Matej Jurica
Pavol Jurica
Ján Novotný
Ján Hájek
Ján Benka
Martin Kršek
Michal Jurkovič
Jozef Kašpárek
Jozef Lonček
Ján Cauner
Michal Jursa
Štefan Uherek
Michal Černý
Tomáš Jursa
Ján Katerinec
Michal Kripl
Ján Lonček
František Galba
Simon Geier
Ján Petráš
Štefan Jurkovič
Martin Jurkovič
Ján Orešanský
Ján Kučera
Štefan Lonček
Alojz Toman
Ján Orešanský
Jozef Sith","1872
1873
1873
1873
1873
1877
1878
1878
1881
1882
1884
1885
1885
1885
1886
1886
1886
1886
1886
1887
1887
1887
1888
1889
1889
1890
1890
1890
1891
-","1919
1920
1916
1916
1919
1916
1917
1916
1915
1915
1916
1916
1918
1914
1916
1915
1917
1917
1916
1915
1915
1915
1916
1914
1915
1914
1915
1918
1914
1917"
"Pomník padlým v I. a II. svetovej vojne, Kuchyňa",Bratislavský,Malacky,Kuchyňa,Obec Kuchyňa leží v nížine v južnej časti Záhoria v Bratislavskom samosprávnom kraji v okrese Malacky. Rozprestiera sa na západnom úpätí Malých Karpát v doline riečky Malina. Prvá písomná zmienka pochádza z roku 1206 a v súčasnosti tu žije asi 1700 obyvateľov.,Pomník sa nachádza na severnej strane Rímskokatolíckeho kostola sv. Filipa a Jakuba.,48.406248 17.155382,"Na snímke je pomník padlým v I. a II. svetovej vojne, na ktorom figuruje 58 mien padlých vojakov v I. a 7 mien padlých v II. svetovej vojne. Autorom pomníka z roku 1929, ktorý je ním aj signovaný, je sochár Dvořák z Břeclavi. Hornú časť pomníka architektonicky dotvára socha Ježiša Krista so zdvihnutou pravicou, v jeho dolnej časti sa nachádza reliéf plačúcej matky s dvoma deťmi.","Martin Baček
Anton Senošmíd
Valentin Rechtorovič
Ján Blaha
Jozef Stehlík
Ján Pribil
Štefan Ambra
Ján Rybár
Jozef Dobiáš
Štefan Šimek
Jozef Ciferský
Štefan Selič
Ján Zajíček
Jozef Sedlák
Ludvík Danihel
Mikuláš Mikulašových
Tomáš Ambra
Michal Blaha
Matej Šimek
František Hirner
Jozef Petrík
František Ciferský
Michal Baček
Ján Mikulašových
Ján Rechtorovič
Augustín Rechtorovič
František Ič
Štefan Baďura
Štefan Palka
Martin Šprinc
Štefan Beňka
Mikuláš Emríšek
Pavel Šimek
Ján Palka
František Stehlík
Emil Kafka
Ján Radič
Ján Baček
Jozef Václav
František Truc
Štefan Emríšek
Martin Novosádek
Pavel Slávik
Cyril Binčík
Jozef Ružička
Jozef Ambra
Michal Amzler
Matej Ruppert
Matej Baláž
Vendelín Rechtorovič
Antonín Voržáček
Štefan Stehlík
Pavel Ambra
Gregor Ič
Štefan Ruppert
Jozef Mundok
Tomáš Bakaráč
Hurban Ciferský","1870
1871
1873
1874
1874
1877
1878
1878
1879
1879
1879
1880
1880
1880
1880
1883
1883
1883
1883
1884
1884
1884
1884
1886
1886
1887
1887
1888
1888
1888
1888
1890
1890
1890
1891
1891
1891
1891
1891
1891
1892
1892
1893
1893
1893
1893
1893
1893
1894
1894
1894
1894
1896
1896
1897
1898
1898
1898","1918
1918
1917
1916
1917
1916
1914
1915
1914
1916
1915
1916
1917
1918
1916
1916
1917
1915
1916
1914
1914
1916
1918
1915
1918
1915
1917
1918
1916
1918
1917
1917
1915
1919
1914
1918
1917
1917
1914
1914
1915
1917
1916
1915
1916
1915
1916
1915
1918
1916
1915
1915
1917
1916
1918
1914
1916
1918"
"Pomník padlým v I. svetovej vojne, Láb",Bratislavský,Malacky,Láb,"Obec Láb sa nachádza v Bratislavskom samosprávnom kraji a leží južne od okresného mesta Malacky na južnej strane Záhorskej nížiny, v doline Močiarky. Prvá písomná zmienka o obci pochádza z roku 1206 a v súčasnosti tu žije viac ako 1500 obyvateľov.",Južne od hasičskej zbrojnice v rohu križovatky ulíc pred Rímskokatolíckym kostolom Všetkých svätých.,48.361688 16.971926,"Na snímke je pomník padlým v I. svetovej vojne, na ktorom figuruje 25 mien padlých vojakov. Autorom pomníka z roku 1929 je Anton Weinberger. Hornej časti pomníka je vyobrazená socha lúčiaceho sa vojaka v objatí so ženou a dieťaťom.","Tomáš Filipek
Pavel Ledník
Eduard Janec
Mikuláš Rechtorovič
Štefan Buday
Marcel Chmela
Izidor Drahoš
Matuš Drahoš
Volfgang Chmela
Rochus Baček
Joachym Žaludný
Matej Šimkovič
Blažej Kovár
Marek Hrebeň
Alojz Malinovský
Michal Jurica
Imrich Chmela
Ján Klena
Matej Ort Šnep
František Hrebeň
Richard Čermák
Ján Hrebeň
Anton Kočiš
Matej Drahoš
Ferdinand Sloboda","1875
1876
1879
1881
1883
1883
1885
1885
1888
1889
1889
1889
1890
1890
1891
1892
1892
1893
1894
1894
1895
1895
1895
1895
1896","1918
1914
1915
1916
1914
1916
1918
1918
1917
1915
1915
1918
1915
1915
1917
1914
1917
1915
1915
1915
1916
1916
1916
1920
1917"
"Pomník padlým v I. svetovej vojne, Lozorno",Bratislavský,Malacky,Lozorno,Obec Lozorno sa nachádza v Bratislavskom samosprávnom kraji v okrese Malacky. Leží na juhu Záhorskej nížiny pri úpätí Malých Karpát. Prvá písomná zmienka pochádza z roku 1438 a v súčasnosti tu žije vyše 2900 obyvateľov.,V záhradke starej rímskokatolíckej fary Kostola sv. Kataríny Alexandrijskej.,48.332395 17.042247,"Na snímke je pomník padlým v I. svetovej vojne, na ktorom figuruje 60 mien padlých vojakov. 28 z nich má pri svojom mene fotomedailón. Autorom pomníka z roku 1929 je architekt R. Kocourek z Holíča. Hornej časti pomníka sa nachádza súsošie Ježiša Krista so zdvihnutou ľavicou s kľačiacim mužom objímajúcim Krista a po bokoch pomníka sú dve sochy kľačiacej ženy (vľavo) a padlého vojaka (vpravo).","Lenhard Kuchynka
Lenhard Ort
Vendelín Kopáč
Ján Hubek
Michal Foró
Jozef Mundok
Matúš Ondriáš
Vavrinec Požgai
František Rybár
Filip Baláž
Štefan Toman
Pavel Valent
Melchior Kuchynka
Ján Jánoš
Ján Jánoš
František Dujnič
Ignác Lehmann
Vendelín Gural
Jozef Jánoš
Štefan Sabó
Alojz Jánoš
Gabriel Želipský
Ján Šablica
Ján Brindzák
František Jánoš
Anton Mikulášek
Jozef Hindra
Jozef Ondriáš
Peter Beloni
Samuel Saler
Ján Hrica
Ján Matušek
Jakub Lehmann
Ján Másár
Michal Galba
Pavel Foltýn
Ján Šurina
Gabriel Drahoš
Štefan Jánoš
Štefan Jánoš
Štefan Mihalovič
Martin Valent
Lenhard Kuchynka
Štefan Vanek
František Puškáč
Michal Cabadaj
Ján Dujnič
Anton Foró
Jozef Galba
Adolf Kovanič
Štefan Jankovič
František Foltýn
Štefan Hubek
Ján Ragas
Vincent Karovič
Matej Haramia
Štefan Mihalovič
František Zeman
Adolf Jánoš
Ludevít Ragas","1872
1872
1873
1874
1875
1875
1875
1875
1875
1876
1877
1877
1878
1879
1879
1879
1879
1880
1880
1880
1881
1882
1882
1883
1883
1883
1884
1884
1885
1885
1886
1886
1886
1886
1887
1887
1888
1889
1889
1889
1889
1889
1890
1890
1890
1891
1891
1891
1891
1894
1894
1895
1895
1895
1896
1896
1896
1896
1897
1898","1916
1914
1916
1917
1917
1915
1915
1918
1918
1918
1914
1921
1916
1916
1916
1916
1916
1916
1915
1916
1914
1918
1915
1915
1915
1918
1914
1915
1917
1914
1914
1916
1917
1914
1915
1920
1918
1916
1916
1915
1916
1915
1918
1914
1916
1915
1915
1914
1914
1916
1917
1916
1917
1915
1916
1916
1919
1918
1919
1917"
"Pomník padlým v I. svetovej vojne, Malacky",Bratislavský,Malacky,Malacky,"Malacky sú okresným mestom na západnom Slovensku v Bratislavskom samosprávnom kraji, ktoré leží medzi riekou Moravou a Malými Karpatmi. Prvá písomná zmienka o meste pochádza z roku 1231 a v súčasnosti tu žije viac ako 17000 obyvateľov.",Pomník sa nachádza krížom od zastávky SAD v smere na železničnú stanicu Malacky na Kláštornom námestí.,48.436418 17.019943,"Na snímke je pomník padlým v I. svetovej vojne, na ktorom figuruje 185 mien padlých vojakov. Autorom pomníka z roku 1929 je Ladislav Majerský, ktorý v hornej časti pomníka vytvoril súsošie kľačiaceho vojaka podopierajúceho umierajúceho spolubojovníka.","Štefan Benka
Jozef Hricka
Jozef Jakl
Michal Kratochvila
Martin Malý
Ondrej Hanzlík
Štefan Mráz
Ján Vincek
Jozef Gut
Ján Havlík
Martin Havlík
Štefan Horvath
Mikuláš Zúbek
Anton Pavelka
Ján Pollák
Jozef Benka
Jozef Danihel
Anton Koller
Ján Král
Ján Kratochvila
Martin Krippel
Viliam Havlík
Jozef Kúra
Martin Maxian
Anton Špringer
Michal Zúbek
Ján Ždimal
Ignác Hanuš
Ján Janík
Anton Král
Jozef Matušek
Matej Oreský
Pavel Pajpach
Jozef Malý
Štefan Michalovič
Štefan Danihel
Ján Dobrovodský
František Hanuš
Štefan Ivan
František Katraba
Ján Kocmunda
Vendelín Král
Matej Mízner
Jozef Mráz
Štefan Pollák
Alfred Reisner
Augustín Štokinger
Jozef Valent
Ignác Foltin
Jozef Hedvábný
Leopold Korchacký
František Kovanič
Matej Kožuch
Michal Mládek
Michal Obselka
Jozef Osuský
Ján Tichy
Ľudevít Bakoš
Štefan Gajdár
JOzef Hanuš
Ján Havlík
Michal Kučera
Felix Pissk
Maximilian Šuran
Anton Šelc
Ján Benkovič
Štefan Blažíček
Michal Bojnar
Jakub Danihel
Štefan Gašpar
František Kafka
Ferdinand Kuračka
Ján Petráš
Alexander Vaniš
Štefan Benkovič
Augustín Gavalík
František Horvat
Ján Kovár
Michal Kuklovský
Ján Lonček
Ján Ondrovič
Štefan Fonal
Šimon Geyer
Jozef Jančík
Pavel Žilavý
Ján Kožuch
Štefan Kožuch
Michal Krippel
Ján Kuklovský
Michal Oslej
Jozef Osuský
Jozef Režný
Artúr Rosenstein
Augustín Cichner
František Danihel
Ondrej Futo
Jozef Jurica
Štefan Jurkovič
Anton Matušek
Štefan Šíp
Ján Orešanský
Ľudovít Roš
Matej Šelc
Ferdinand Taborsky
Štefan Blažíček
Pavel Danihel
Koloman Fray
Ján Osuský
Pavel Sloboda
Pavel Šelc
Ján Toman
Ján Jančík
Ján Kožuch
Jozef Obselka
Ľudevít Albrecht
Pavel Bartoš
František Bittner
Ján Gregos
Artúr Jelinek
Martin Malý
Štefan Malý
Pavel Prochazka
Ján Prokop
Ferdinand Rohlíček
Štefan Štiftner
Štefan Vismek
Mikuláš Vrablec
Michal Wollner
Cyril Binčik
František Janeček
Jozef Kučera
Martin Mráz
Ján Binčik
Michal Blažíček
Ján Brimich
Anton Havlík
Ondrej Jurik
Augustín Katraba
Štefan Katraba
Štefan Kočíšek
Jozef Kožuch
Ján Marcinec
Viliam Polák
Matej Sečkár
Ján Šelc
Štefan Šimkovič
František Šíra
Fridrich Wasservogel
Albert Král
Ondrej Král
Matej Malý
Jozef Mráz
Ján Ondrejka
Augustín Osuský
Augustín Pollák
Ján Živica
František Blažíček
Štefan Kožuch
Ján Krippel
František Muranyi
Anton Osuský
Anton Osuský
Jozef Ryba
Julius Ryba
Ján Slezák
Jozef Weselý
Štefan Danihel
Alojz Dobrovodský
Ferdinand Ecker
František Gašpar
Jozef Gelinger
Vincenc Greif
Matej Jančar
Michal Mládek
Jozef Žilavý
Ján Vilem
Pavel Vismek
Jozef Havlík
Michal Havlík
Ján Král
Anton Orlík
Oto Pollák
Viliam Rohlíček
Matej Jelinek
Jakub Kordoš
Michal Jajcai","1870
1871
1872
1873
1873
1874
1874
1874
1875
1875
1875
1875
1875
1876
1876
1877
1877
1878
1878
1878
1878
1879
1879
1879
1879
1879
1879
1880
1880
1880
1880
1880
1880
1881
1881
1882
1882
1882
1882
1882
1882
1882
1882
1882
1882
1882
1882
1882
1883
1883
1883
1883
1883
1883
1883
1883
1883
1884
1884
1884
1884
1884
1884
1884
1884
1885
1885
1885
1885
1885
1885
1885
1885
1885
1886
1886
1886
1886
1886
1886
1886
1887
1887
1887
1887
1887
1887
1887
1887
1887
1887
1887
1887
1888
1888
1888
1888
1888
1888
1888
1889
1889
1889
1889
1890
1890
1890
1890
1890
1890
1890
1891
1891
1891
1892
1892
1892
1892
1892
1892
1892
1892
1892
1892
1892
1892
1892
1892
1893
1893
1893
1893
1894
1894
1894
1894
1894
1894
1894
1894
1894
1894
1894
1894
1894
1894
1894
1894
1895
1895
1895
1895
1895
1895
1895
1895
1896
1896
1896
1896
1896
1896
1896
1896
1896
1896
1897
1897
1897
1897
1897
1897
1897
1897
1897
1897
1897
1898
1898
1898
1898
1898
1898
1899
1899
-","1917
1916
1917
1917
1916
1916
1916
1915
1917
1916
1916
1916
1915
1919
1917
1915
1915
1916
1917
1915
1918
1917
1915
1916
1916
1916
1916
1914
1914
1915
1916
1917
1915
1916
1914
1915
1915
1915
1914
1916
1916
1918
1917
1914
1916
1919
1918
1916
1916
1915
1914
1918
1914
1916
1914
1918
1918
1916
1915
1918
1917
1918
1916
1915
1914
1915
1916
1916
1917
1915
1916
1916
1915
1915
1914
1915
1916
1914
1915
1916
1915
1914
1915
1915
1915
1914
1915
1917
1914
1918
1915
1916
1917
1915
1914
1915
1917
1916
1915
1917
1914
1915
1915
1915
1915
1914
1915
1916
1915
1915
1915
1917
1915
1917
1919
1916
1916
1915
1915
1915
1915
1915
1916
1915
1915
1915
1920
1914
1915
1915
1917
1915
1915
1915
1915
1915
1915
1915
1915
1915
1915
1918
1916
1919
1917
1915
1915
1915
1916
1917
1917
1916
1915
1916
1918
1917
1919
1917
1918
1915
1915
1915
1916
1916
1915
1916
1919
1918
1918
1917
1917
1918
1917
1916
1917
1916
1918
1918
1918
1916
1917
1914
1918
1918
1915
-"
"Kríž na pamiatku padlých vojakov v I. svetovej vojne, Malé Leváre",Bratislavský,Malacky,Malé Leváre,"Obec Malé Leváre sa nachádza na západnom Slovensku v Bratislavskom samosprávnom kraji. V súčasnosti patrí k okresu, Malacky a má žije tu približne 1200 obyvateľov. Prvá písomná zmienka o obci pochádza z roku 1378.",Ústredný kríž na miestnom cintoríne.,48.506118 16.967824,"Na snímke je kríž na pamiatku padlých vojakov v I. svetovej vojne, na ktorom figuruje 53 mien padlých vojakov. Kríž s prednej časti dotvára reliéf anjela, podopierajúceho umierajúceho vojaka.","Pavel Sith
Jozef Slanusek
Ján Cermak
Franz Sith
Václav Weinreb
Jozef Čermak
Jozef Tutter
Štefan Hurban
Bartolomej Obala
Franc Obala
Alois Volek
Adalbert Vrablic
Jozef Hollý
Franc Hurban
Jakub Vrablic
Jozef Klena
Jan Obala
Viktor Volek
Jakub Holly
Jozef Holly
Jan Gúth
Andrej Gúth
Jozef Gúth
Jozef Gúth
Martin Kováč
Štefan Bečár
Pavel Balgavy
Anton Galba
Štefan Pribyl
Cyrill Alena
Michal Ivan
Štefan Jankovič
Michal Jankovič
Ladislav Duška
Ján Kováč
Anton Marčik
Pavel Vicen
Pavel Balgavý
Michal Fošnár
Martin Vittek","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. a II. svetovej vojne, Marianka",Bratislavský,Malacky,Marianka,"Nachádza sa na úpätí Malých Karpát, v južnej časti Záhoria v Bratislavskom samosprávnom kraji, v okrese Malacky. Prvá písomná zmienka o obci pochádza z roku 1367 a v súčasnosti má takmer 1400 obyvateľov.",Pomník sa nachádza neďaleko zastávky SAD na Námestí 4. apríla.,48.249255 17.061839,"Na snímke je pomník padlým vojakom v I. svetovej vojne, na ktorom figuruje 17 mien vojakov. Má podobu murovanej skalnej mohyly, do ktorej je vsadená tabuľa s menami padlých vojakov vo vojne. Nad ňou je postava smútiacej dievčiny, v pozadí ktorej je kríž a prekrížené zbrane ako symbol vojny.","Jan Osuský
Štefan Moza
Jozef Lachkovič
Jozef Novák
Ferdinand Weingärber
Ludvig Holly
Jozef Taraba
Maxian Suma
Matej Bubnič
Péter Rác
Jakub Ivica
Mikuláš Jurica
Ján Sedlák
Florian Jurica
Pavel Drahoš
Štefan Bolgaš
Cyril Pšenko","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
